Scopus - Analyze author output

"Author name:","Gandhi, Shailesh R."
"Scopus author ID:","7102005763"

"Co-authors:","18"

"Co-author","Co-authored documents"

"Robinson,RetnamonyG.","3"
"Dey,AshimKanti","3"
"Raju,VegesnaSreeRama","3"
"Bhuvaneshwari,S.","3"
"Khare,MakarandG.","2"
"Selvam,S.","2"
"Sundaravadivelu,Renganathan","2"
"Arnepalli,DaliNaidu","1"
"Ashok,M.A.","1"
"Idichandy,V.G.","1"
"Rao,G.N.","1"
"Nithya,K.M.","1"
"Ambily,A.P.","1"
"Maharaj,DilipKumar","1"
"Dey,ArindamK.","1"
"Sivapriya,S.V.","1"
"Kumar,ShriVimal","1"
"KoshyVarghese,SuganyaR.","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
