Scopus - Analyze author output

"Author name:","Krishnan, Jayaraman Murali"
"Scopus author ID:","55936482800"

"Co-authors:","42"

"Co-author","Co-authored documents"

"Bhanumurthy,KaranamAditya","9"
"Kale,GajananBalaji","9"
"Chakravarthy,VaddadiSrinivasa","5"
"Balasubramaniam,R.","4"
"Ramakrishnan,N.","4"
"Ghosh,MainakK.","3"
"Sachdeva,Gairik","3"
"Chatterjee,SubrataC.","3"
"Radhakrishnan,Swaminathan","3"
"Fotedar,RamakrishnaK.","2"
"Laik,Arijit","2"
"Derose,JamesA.","2"
"Derose,D.Joyson","2"
"Ray,A.K.","1"
"Sahoo,SantoshKumar","1"
"Haldar,G.","1"
"Patil,B.T.","1"
"Kalyanasundaram,Kanakapriya","1"
"Arya,RajeevN.","1"
"Kakodkar,Anil","1"
"Grover,AnilK.","1"
"Batra,I.S.","1"
"Victor,Solomon","1"
"Dey,GautamKumar","1"
"Saha,T.K.","1"
"Samajdar,IndradevD.","1"
"Padmarekha,A.","1"
"Bose,DebasisK.","1"
"Krishnan,TrikkurS.","1"
"Reddy,G.Pulla","1"
"Nayak,VijayaMukund","1"
"Gawde,P.S.","1"
"Suthar,R.L.","1"
"Kumbhar,N.T.","1"
"Gund,B.R.","1"
"Joyson,D.","1"
"Yadav,H.S.","1"
"Banerjee,SrikumarK.","1"
"Rajagopalan,PrasannaK.","1"
"Srikrushnamurthy,G.","1"
"Pappachan,A.L.","1"
"Biswas,AmiyaR.","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
