Scopus - Analyze author output

"Author name:","Banerjee, Subhadeep"
"Scopus author ID:","56004321800"

"Co-authors:","14"

"Co-author","Co-authored documents"

"Lee,F.H.","6"
"Subramaniam,Palanidoss","5"
"Goh,Sianghuat","3"
"Orr,TrevorLL","1"
"Pakrashi,Vikram","1"
"Sreenadh,MohanachandraMenon","1"
"Kang,M.","1"
"Xie,Heping","1"
"Joy,Minu","1"
"Paul,DilipK.","1"
"Sarkar,Debdeep","1"
"Rahman,MuhammadEkhlasur","1"
"Kang,Ma","1"
"Shirole,OmprakashN.","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
