Scopus - Analyze author output

"Author name:","Thyagaraj, T."
"Scopus author ID:","6506644497"

"Co-authors:","10"

"Co-author","Co-authored documents"

"Rao,SudhakarM.","8"
"Zodinsanga,Samuel","2"
"Salini,U.","2"
"Das,AmiyaPrakash","1"
"SaiSuresh,P.","1"
"Kumar,KamaleshSR","1"
"Samuel,Z.","1"
"Thomas,HywelRhys","1"
"Suresh,P.Sai","1"
"Rao,P.Raghuveer","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
