Scopus - Analyze author output

"Author name:","Palaniappan, Sivakumar"
"Scopus author ID:","8890031800"

"Co-authors:","14"

"Co-author","Co-authored documents"

"Sawhney,Anil","5"
"Bashford,HowardH.","4"
"Walsh,KennethD.","4"
"PinkyDevi,L.","2"
"Varghese,KoshyC.","1"
"Thompson,JacquelineD.","1"
"Stecker,Leger","1"
"Janssen,MarcoA.","1"
"Sarjoughian,HessamS.","1"
"Fafitis,Apostolos","1"
"Li,Ke","1"
"Hay,Steven","1"
"RameshBabu,N.","1"
"Crittenden,JohnC.","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
