Scopus - Analyze author output

"Author name:","Arnepalli, Dali Naidu"
"Scopus author ID:","35368017600"

"Co-authors:","15"

"Co-author","Co-authored documents"

"Rowe,R.Kerry","6"
"Singh,DevendraNarain","3"
"Brachman,RichardWI","3"
"Shanthakumar,S.","2"
"Rao,BakulHanumantha","1"
"Islam,MdZahirul","1"
"Take,W.Andy","1"
"Ewais,A.MR","1"
"Witthüser,KaiT.","1"
"Ewais,A.MR","1"
"Nithya,K.M.","1"
"Bathurst,RichardJ.","1"
"Gandhi,ShaileshR.","1"
"HanumanthaRao,Bendadi","1"
"Rimal,Santosh","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
