Scopus - Analyze author output

"Author name:","Raphael, Benny"
"Scopus author ID:","7101959185"

"Co-authors:","40"

"Co-author","Co-authored documents"

"Smith,IanFC","27"
"Sekhar,S.C.","11"
"Saitta,Sandro","11"
"Yang,Junjing","5"
"Kumar,Bimal","5"
"Varghese,KoshyC.","4"
"Patil,AbhijitN.","4"
"Vernay,DidierGabriel","4"
"Rastogi,PramodKumar","4"
"Robert-Nicoud,Yvan","4"
"Cheong,KokWaiDavid","3"
"Papadopoulou,Maria","3"
"Tham,Kwokwai","3"
"Chen,Yixing","2"
"Ibbs,C.William","2"
"Ofori,George","2"
"Ling,FlorenceYeanYngLing","2"
"Krishnamoorthy,C.S.","2"
"Lim,Benson","2"
"Domer,Bernd","2"
"Low,SuiPheng","2"
"Kassim,Yahuza","2"
"Underwood,Jason","2"
"Pantelic,Jovan","2"
"Smith,IanFC","2"
"Kripakaran,Prakash","2"
"Soman,RanjithK.","2"
"McLeod,I.A.","1"
"Wai,DavidCheongKok","1"
"Rao,K.SaiChowdeswara","1"
"Mukherjee,Sudipto","1"
"Burdet,OlivierL.","1"
"Domer,Bernd","1"
"Wai,CheongKok","1"
"Svenerudh,P.","1"
"Teoh,MeiChee","1"
"Doloi,HemantaKumar","1"
"Kit,Wongkwan","1"
"Bhatnagar,GautamS.","1"
"Shea,Kristina","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
