Scopus - Analyze author output

"Author name:","Kumar, Mathava"
"Scopus author ID:","22934657800"

"Co-authors:","34"

"Co-author","Co-authored documents"

"Lin,Jihgaw","22"
"Tsai,Jenchieh","6"
"Philip,LigyK.","6"
"Ma,Yingshih","4"
"Remya,Neelancherry","4"
"Lu,Lian","4"
"Cheng,HsiaoFen","3"
"Wang,Chihcheng","3"
"Vishnuganth,M.A.","3"
"Asha,RajuC.","3"
"Selvaraju,N.","3"
"Cheng,HongBang","2"
"Lan,Chienju","2"
"Hsu,HsiuFeng","2"
"Whang,Liangming","1"
"Huang,Yutzu","1"
"Rangabhashiyam,S.","1"
"Wu,Peichi","1"
"Chen,Shenyi","1"
"Azzam,Rafig","1"
"Lee,PoHeng","1"
"Mab,YingShih","1"
"Chang,Suemin","1"
"Lee,PeiYun","1"
"Jhuo,YuSheng","1"
"Lin,Jingaw","1"
"Madhubabu,S.","1"
"Fukusihma,Toshikazu","1"
"Sung,Shihwu","1"
"Ma,Yingshih","1"
"Liao,Weichih","1"
"Venkobachar,C.","1"
"Mohan,SankaralingamMariraj","1"
"Ou,YanLiang","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
