Scopus - Analyze author output

"Author name:","Rajagopal, K."
"Scopus author ID:","56577482200"

"Co-authors:","4"

"Co-author","Co-authored documents"

"Robinson,RetnamonyG.","2"
"Radhakrishnan,R.","2"
"Sridhar,G.B.","2"
"GaneshKumar,S.","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
