Scopus - Analyze author output

"Author name:","Rao, G. Appa"
"Scopus author ID:","7403991691"

"Co-authors:","9"

"Co-author","Co-authored documents"

"Prasad,BirendraKRaghu","6"
"Eligehausen,Rolf","5"
"Sundaresan,RanganathanI.","3"
"Kunal,Keshav","2"
"Injaganeri,S.S.","2"
"Sultana,Faiz","1"
"Aravind,Joe","1"
"Vijayanand,Indupalli","1"
"Pandurangan,Krishnamurthy","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
