Scopus - Analyze author output

"Author name:","Maji, Vidya Bhushan"
"Scopus author ID:","21934199200"

"Co-authors:","8"

"Co-author","Co-authored documents"

"Sitharam,T.G.","5"
"Dodagoudar,GoudappaR.","1"
"Ramulu,More","1"
"Gandhi,ShwetaR.","1"
"Verma,AnilKumar","1"
"Sivakumar,GayathriL.","1"
"Ravichandran,Vijaya","1"
"KarthigaDevi,S.G.","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
