Scopus - Analyze author output

"Author name:","Sankaranarayanan, Venkataraman"
"Scopus author ID:","7006339733"

"Co-authors:","119"

"Co-author","Co-authored documents"

"Sethupathi,Kanikrishnan","35"
"Nirmala,R.","28"
"Ramaprabhu,Sundara","19"
"Srinivasan,Rajagopalan","19"
"Morozkin,AlexV.","15"
"Srinivas,GadipelliN.","15"
"Malik,SatishK.","14"
"Rangarajan,Govindan","12"
"SubbaRao,G.VSubba","10"
"Rama,N.","10"
"Groß,RudolfE.","6"
"Krishnamoorthy,C.S.","6"
"Subramaniam,ChitturKrishnaswamy","6"
"Elangovan,S.","6"
"Mahato,RabindraNath","6"
"Opel,Matthias","6"
"Baral,AshokKumar","5"
"Hori,Hidenobu","5"
"RamachandraRao,M.S.","5"
"Yelon,WilliamB.","5"
"Krishnan,H.","5"
"Rao,Muralidhara","5"
"Kumar,RaviKeshwar","4"
"Grover,AnilK.","4"
"Eswaraiah,Varrla","4"
"Subramanian,ChinappaK.","4"
"Ramachandran,Velimuthu","4"
"Chu,Zili","4"
"Chaddah,Praveen","3"
"Varadaraju,UpadhayayulaV.","3"
"Radhakrishnan,VijayashreeM.","3"
"Nair,HarikrishnanS.","3"
"Philipp,JanBoris","3"
"Nigam,ArunKumar","3"
"Yamamoto,Yoshiyuki","3"
"Pradheesh,R.","3"
"Thyagarajan,ThangaveluR.","3"
"Malik,SudhirKR","3"
"Lamsal,Jagat","3"
"Venugopal,MaheshS.","3"
"Sarkar,TapobrataP.","2"
"Geethakumary,T.","2"
"Gopal,TamilselviVenu","2"
"Hariharan,Y.","2"
"Sankar,N.","2"
"Chandrasekaran,KrishnaswamyD.","2"
"Natarajan,SreenivasanAnanda","2"
"Raju,NandyalaP.","2"
"Ravindran,Nithya","2"
"Ravindran,TharaR.","2"
"Thomas,KodenkandathAntony","2"
"Yamamoto,Yoshiyuki","2"
"Balakrishnan,Geetha","2"
"Bharathi,KamalaKamala","2"
"Krishnaparandhama,T.","2"
"Kuppurajulu,Atteri","2"
"NathMahato,Rabindra","2"
"Yakhmi,JatiǹderVir","1"
"KarthikeyaRaja,G.","1"
"Vaidhyanathan,L.S.","1"
"Gepraegs,S.","1"
"Iu,Herbert","1"
"Gopalakrishnan,I.K.","1"
"Vijayaraghavan,RajagopalanR.","1"
"Venkataramani,Narayanan","1"
"Muthuswamy,Bharathwaj","1"
"Kim,Hyongsuk","1"
"Paulose,PlL.","1"
"Valsakumar,M.C.","1"
"Cai,Qingsheng","1"
"PrakasaRao,K.S.","1"
"Ellerby,Mark","1"
"Janaki,R.","1"
"Majewski,Pawel","1"
"Sarkissian,BoghosVB","1"
"Subramanyam,SomanahalliV.","1"
"DharmaRao,M.","1"
"Gopar,V.","1"
"Seshasayee,S.","1"
"Kundaliya,DarshanC.","1"
"RamaRao,KulchimanchiVS","1"
"Kanniyappan,C.","1"
"GunduRao,TumkurK.","1"
"Nanda,JanardanN.","1"
"Venkatesh,RajanPrasanna","1"
"Mishra,AshishKumar","1"
"Hofmann,MichaelA.","1"
"MohanKant,K.","1"
"Nagendra,Rao","1"
"Iyer,RangaMahadeva","1"
"Kaliyaperumal,GanesanA.","1"
"Vijaykumar,D.K.","1"
"Venkatesan,ThirumalaiNC","1"
"Skipper,NealT.","1"
"Uma,SreekumarR.","1"
"Shah,MalaykumarPd","1"
"Santhosh,PadmamN.","1"
"Sethupati,K.","1"
"Umarji,ArunM.","1"
"Muraleedharan,Kuttanellore","1"
"Nirmala,Rajkumar","1"
"Dewan,HardialSingh","1"
"KarthicNataraj,N.S.","1"
"Ramamurthy,C.","1"
"Prasad,VishnubhotlaVBhanu","1"
"Srivastava,ChandramaniM.","1"
"Sankar,M.G.","1"
"Srinivasan,DheepaR.","1"
"Jevtić,Jovan","1"
"Ashokan,Renganathan","1"
"Chua,Leon","1"
"Sharma,BinodL.","1"
"Rao,NutakkiDharma","1"
"Ogale†,S.B.","1"
"Kumar,C.M.N.","1"
"Sastry,PamidiVPSS","1"
"Joshi,AmishG.","1"
"Erb,Andreas","1"
"Yang,Jinbo","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
