Scopus - Analyze author output

"Author name:","Santhosh, Padmanabhan N."
"Scopus author ID:","13408602300"

"Co-authors:","114"

"Co-author","Co-authored documents"

"Gopalan,A.","44"
"Manesh,KalayilManian","24"
"Lee,Kwangpill","22"
"Vasudevan,ThiyagarajanN.","18"
"Lee,Kwangpill","15"
"Wang,Joseph","11"
"Windmiller,JoshuaRay","10"
"Chuang,Minchieh","9"
"Katz,Evgeny","8"
"Uthayakumar,Sivaperumal","6"
"Sankarasubramanian,M.","6"
"Halámek,Jan","6"
"Bocharova,VeraA.","5"
"Kim,JunHeon","5"
"Kim,KyuSoo","5"
"Strack,Guinevere","4"
"Ramírez,GabrielaValdés","4"
"Nioradze,Nikoloz","3"
"Chinnapareddy,Soujanya","3"
"Zhou,Jian","3"
"Amemiya,Shigeru","3"
"Zhou,Jian","2"
"Kavitha,BrahmanapallyTVV","2"
"Song,Kapduk","2"
"Renukadevi,Murugesan","2"
"Dhandapani,C.","2"
"Sathiyamoorthi,Ramasamy","2"
"Manian,KalayilPillai","2"
"Wen,Ten-Chin","2"
"Lee,Sehee","2"
"Senthilkumar,NanganC.","2"
"Kim,Sangho","2"
"Venugopalan,Sethuramasharma","2"
"Mathanmohan,Thirumeni","2"
"Tseng,Tafeng","2"
"Chen,Ran","2"
"Lee,Dukdong","2"
"Arugula,MaryAnitha","2"
"Komathi,ShanmugasundaramSundaram","2"
"Shakkthivel,Piraman","2"
"Nho,Youngchang","2"
"Chou,TzuYang","2"
"Gore,GirishMohan","1"
"Hwang,Chulgyun","1"
"Babu,MahendraRameshM","1"
"Aydoǧdu,GulgunH.","1"
"SenthilKumar,Nagarajan","1"
"Amsharov,Nadja","1"
"Valdés-Ramírez,Gabriela","1"
"Privman,Vladimir","1"
"Gangadharan,Ramaiyer","1"
"Nunes,Antonio","1"
"Ramaprabhu,Sundara","1"
"Miller,PhilipR.","1"
"Chaghouri,HananAl","1"
"Kanatharana,Proespichaya","1"
"GurumalleshPrabu,Halliah","1"
"Shenoy,GaneshJagadeesh","1"
"Saminathan,K.","1"
"Tam,Tszkin","1"
"Kim,Namhee","1"
"Kalpana,A.","1"
"Kim,Jiyeon","1"
"Pita,Marcos","1"
"PonSaravanan,N.","1"
"Sridevi,A.S.","1"
"Zhou,Nandi","1"
"Galík,Michal","1"
"Parobek,DavidG.","1"
"Narayan,RogerJagdish","1"
"Soo,KimKyu","1"
"Habermeier,HannsUlrich","1"
"Melnikov,DmitriyV.","1"
"Kang,Heedong","1"
"Pace,Sandro","1"
"Sivakumar,Chinnaiah","1"
"Thomas,PreethaJohn","1"
"Nayak,PranatiL.","1"
"Kavita,Baradi","1"
"Lee,KwangpiII","1"
"Tuna,Floriana","1"
"Karachalios,TheodorosK.","1"
"Nitodas,StephanosF.","1"
"Burghard,Marko","1"
"Nagarajan,S.","1"
"Kang,JaeSoo","1"
"Hong,MungHwa","1"
"Chandrasekaran,Ramasamy","1"
"Poorahong,Sujittra","1"
"Vecchione,Antonio","1"
"Li,Zhiting","1"
"Jayavel,Ramasamy","1"
"Guo,Chang","1"
"Shen,Mei","1"
"Gombos,Marcello","1"
"Sankar,S.","1"
"Thavarungkul,Panote","1"
"Lee,Kwnagpill","1"
"Al-Jamal,KhuloudTaysir","1"
"VanDenBossche,Jeroen","1"
"Park.,Jongwook","1"
"Kim,MinA.","1"
"Talawar,MahadevBhimappa","1"
"Kim,Hyuntak","1"
"Suganandam,K.","1"
"Sivabalan,Renganathan","1"
"Thanneermalai,M.","1"
"Nho,JinHee","1"
"Kostarelos,Kostas","1"
"Liu,Haitao","1"
"Wong,JosephIsaac","1"
"Deible,MichaelJ.","1"
"Surwade,SumedhP.","1"
"Abidin,Dewi","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
