Scopus - Analyze author output

"Author name:","Jaiswal, Manu"
"Scopus author ID:","12799782900"

"Co-authors:","81"

"Co-author","Co-authored documents"

"Menon,Reghu","13"
"Özyilmaz,Barbaros","11"
"Loh,Kianping","10"
"George,Lijin","5"
"Shaina,PunnakkaparambilR.","5"
"Sangeeth,C.SSuchand","5"
"Rambabu,Y.","5"
"Roy,SomnathChanda","5"
"Balakrishnan,Jayakumar","5"
"Wang,Yu","4"
"Pachoud,Alexandre","4"
"Ang,Priscillakailian","3"
"Hong,Byunghee","3"
"Wang,Wei","3"
"Avsar,Ahmet","3"
"Sun,Yaping","3"
"Ahn,Jonghyun","3"
"Saravanan,Sivanesan","2"
"Ali,SyedRizwan","2"
"Kajen,RasanayagamSivasayan","2"
"Wong,ChounPei","2"
"Ng,AndrewMingHua","2"
"Li,Ang","2"
"Gupta,NanditaDas","2"
"Pey,Kinleong","2"
"Vijila,ChellappanVMary","2"
"SuchandSangeeth,C.S.","2"
"Wang,Shuai","2"
"Lim,C.T.","2"
"Toh,Cheetat","2"
"Rai,Vikas","2"
"Choudhury,ParamitaKar","2"
"Beschoten,Bernd","2"
"Saha,Surajit","2"
"Chandrasekhar,Natarajan","2"
"Yang,TsungYeh","2"
"Volmer,Frank","2"
"Bao,Qiaoliang","2"
"Gupta,Aparna","2"
"Popinciuc,Mihaita","1"
"Ghosh,MandakrantaA.","1"
"KokWaiKoon,Gavin","1"
"CastroNeto,AntónioCastroCastro","1"
"Neto,AntonioHCastro","1"
"Sankaran,Jagadish","1"
"Kahya,Orhan","1"
"Baeck,Seungjae","1"
"Güntherodt,Gernot","1"
"Guöntherodt,Gernot","1"
"Vayalamkuzhi,Pramitha","1"
"Annadi,Anil","1"
"Varghese,Binni","1"
"Hou,Hanwei","1"
"Satapathy,DillipK.","1"
"Manga,KiranKumar","1"
"Srivastava,AmarK.","1"
"Thong,JohnT.L.","1"
"Bae,Sukang","1"
"Lim,Candyhaley","1"
"Ho,Yuda","1"
"Cazalilla,MiguelA.","1"
"Tao,Ye","1"
"Afsal,Kareekunnan","1"
"Wohland,Thorsten","1"
"Venkatesan,ThirumalaiNC","1"
"Zhang,Zheng","1"
"Lee,Jonghak","1"
"Samm,J.","1"
"Zheng,Yi","1"
"Pradipkanti,L.","1"
"Zeng,Minggang","1"
"Sow,ChorngHaur","1"
"Tok,EngSoon","1"
"Lin,Ming","1"
"Ferreira,Aires","1"
"YiXuanLim,CandyHaley","1"
"ShiralFernando,K.A.","1"
"Fernando,KasunAShiral","1"
"Koon,GavinKokWai","1"
"Yadav,Vani","1"
"Kavitha,ManniledamK.","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
