Scopus - Analyze author output

"Author name:","Joy, Ashwin"
"Scopus author ID:","55571842100"

"Co-authors:","9"

"Co-author","Co-authored documents"

"Ganesh,Rajaraman","5"
"Gupta,Akanksha","3"
"Procaccia,Itamar","3"
"Charan,Harish","2"
"Hentschel,HilaryGeorgeE","2"
"Dasgupta,Ratul","2"
"Samwer,KonradH.","1"
"Gendelman,OlegV.","1"
"Mishra,PankajKumar","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
