Scopus - Analyze author output

"Author name:","Srinivas, Veeturi"
"Scopus author ID:","7102516652"

"Co-authors:","150"

"Co-author","Co-authored documents"

"Dunlap,R.A.","46"
"Rao,Venkatesh","25"
"Chandra,GirishRavi","24"
"Perumal,Alagarsamy","19"
"Rajaram,Guruswamy","16"
"Shringi,SeidikkurippuN.","16"
"Krishnan,RamanayanG.","16"
"Prasad,ShivaVGVA","16"
"McHenry,MichaelEdward","14"
"Thakur,AwalendraKumar","13"
"Bahadur,Dhirendra","11"
"Singh,Vidyadhar","9"
"Ram,Shanker","9"
"O'Handley,RobertC.","9"
"Panda,Maheswar","9"
"Barua,Pranabesh","9"
"Nigam,ArunKumar","9"
"Yu,Seongcho","9"
"Mathur,BalbirKumar","9"
"Kim,Kyeongsup","8"
"Poon,S.Joseph","8"
"Kasiviswanathan,Subbiah","8"
"Murty,BudarajuSrinivasa","7"
"Sahoo,Trilochan","7"
"Vasundhara,Mutta","7"
"Roy,Aparna","7"
"Chopra,KanwaljitL.","6"
"Venkatesh,ChV.","5"
"ChandrasekharRao,TVV.","5"
"Kar,Soumen","5"
"Saha,Ritwik","5"
"Rapp,Östen","5"
"Mishra,AmareshChandra","5"
"Kishore,NandKrishna","5"
"Saha,Ritwik","4"
"Lawther,DerekW.","4"
"Lloyd,DavidJ.","4"
"Ramakrishnan,Srinivasan","4"
"Rao,M.VH","4"
"DeToro,JoseAngel","4"
"Mandal,Guruprasad","4"
"Nigam,ArunKumar","3"
"Yasin,SkMohammad","3"
"Majumdar,BhaskarS.","3"
"Rapp,Oe","3"
"Nigam,AasthaK.","3"
"Laridjani,MortézaSadeghi","3"
"Vasudevan,Padma","3"
"Srinivas,M.","3"
"Ghosh,TimirBaran","2"
"Ranot,Mahipal","2"
"Beydaghyan,G.","2"
"Vijayaraghavan,RajagopalanR.","2"
"Park,JeGeun","2"
"Vadnere,R.V.","2"
"Voronin,VladimirI.","2"
"Adyam,Venimadhav","2"
"SriramSarma,E.","2"
"Rougier,P.","2"
"Yewondwossen,MammoH.","2"
"MohammadYasin,Sk","2"
"Goshchitskiǐ,BorisN.","2"
"Bhoi,Biswanath","2"
"Goff,JonathanP.","2"
"Manna,SubhenduKumar","2"
"Behera,BanarjiCh","2"
"Nath,TapanKumar","2"
"Khatri,Praveen","2"
"Jha,SudhanshuS.","2"
"Srivastava,SamanvayaKrishna","2"
"Chatterjee,Ratnamala","2"
"Kar’kin,AlexanderE.","2"
"ChandraMishra,Amaresh","2"
"Choudhary,RamNareshPrasad","2"
"Srivastava,J.K.","2"
"Kar,AsitKumar","2"
"Dhar,AchintyaK.","2"
"Somu,VijayBhaskar","2"
"Hundley,MichaelF.","1"
"Agarwal,Gautam","1"
"Devare,S.H.","1"
"Dunlap,E.","1"
"Satya,A.T.","1"
"Sundar,ChakramSampathkumar","1"
"KumarManna,Subhendu","1"
"Sreedevi,V.","1"
"Akhtar,Dilshad","1"
"Schurack,Frank","1"
"Karmakar,Debjani","1"
"Dhabal,Sampa","1"
"Srinivasu,VallabhapurapuSrinivasu","1"
"Rapp,�","1"
"Girish,Chandra","1"
"Samantaray,BiswasKumar","1"
"Manna,SanjibKumar","1"
"Phan,ManhHuong","1"
"Inoue,Akihisa","1"
"Sunny,Annrose","1"
"Krishnamurthy,VemuruV.","1"
"Raghavender,A.T.","1"
"Bodo,Bhaskarjyoti","1"
"Madhav,A.V.","1"
"O’Handley,R.C.","1"
"Sastry,G.P.","1"
"Kumar,KatrapallyVijayaArun","1"
"Krishnanc,R.","1"
"Devare,H.G.","1"
"Chakraborty,Madhusudhan","1"
"Jéhanno,G.J.","1"
"Rao,V.Vasudeva","1"
"Perold,WillemJacobus","1"
"Shiva,Prasad","1"
"PrasadRao,K.","1"
"Eckert,J.","1"
"Hammann,JacquesM.","1"
"Mallesh,Shanigaram","1"
"Ayyar,S.R.","1"
"Stadnik,ZbigniewM.","1"
"Barik,SujitK.","1"
"Banerjee,Progna","1"
"Misra,SushilK.","1"
"Jonnakuti,N.SPrasad","1"
"Hur,Namhwi","1"
"Roy,AbhijitLe","1"
"Nordblad,Per","1"
"Rao,T.VC","1"
"Sharma,ShilpamK.","1"
"Banerjee,Alok","1"
"Krishnan,KannurupattiNarayanan","1"
"Saida,Junji","1"
"Bhattacharya,DipsikhaK.","1"
"SudheerBabu,P.","1"
"Amaladass,EdwardP.","1"
"Marathe,VishnuR.","1"
"Kajaram,G.","1"
"Kulkarni,J.A.","1"
"Vinod,Krishnankutty","1"
"Singh,GurvinderLal","1"
"Riveiro,JoséManuel","1"
"Singha,RajkumarKumar","1"
"König,R.","1"
"Christie,I.AD","1"
"Darshane,VishuS.","1"
"O’Handley,RobertC.","1"
"Angappane,S.","1"
"Misiak,LucjanEugeniusz","1"
"Bharathi,ArvindKrishnasamy","1"
"Shring,S.N.","1"
"Mizutani,Uichiro","1"
"Rodmar,Markus","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
