Scopus - Analyze author output

"Author name:","Kasiviswanathan, Subbiah"
"Scopus author ID:","6603696637"

"Co-authors:","67"

"Co-author","Co-authored documents"

"Malar,PiraviP.","13"
"Mohanty,BhaskarChandra","10"
"Srinivas,Veeturi","8"
"Patra,Anuradha","8"
"Balasubrahmaniyam,M.","6"
"Mathur,BalbirKumar","6"
"SarathKumar,S.RSarath","5"
"Osipowicz,Thomas","5"
"Saha,Ritwik","5"
"Rangarajan,Govindan","5"
"Abhilash,T.S.","4"
"Laha,Ranjit","4"
"Ananthan,M.R.","3"
"Jain,MahaveerK.","3"
"Yasin,SkMohammad","3"
"Manivannan,Ayyakkannu","3"
"Markandeyulu,G.M.","3"
"Tyagi,AshokKumar","3"
"Chopra,KanwaljitL.","3"
"Rangasami,C.","3"
"Nigam,AasthaK.","3"
"Kar,AsitKumar","3"
"Das,VernonDamodara","2"
"Murty,BudarajuSrinivasa","2"
"Varma,Shikha","2"
"Srinivasan,Rajagopalan","2"
"SubbaRao,G.VSubba","2"
"Balamurugan,A.K.","2"
"MohammadYasin,Sk","2"
"Ali,SabirAkbar","2"
"Rajam,PrakashFortunata","2"
"Nigam,ArunKumar","2"
"Subramaniam,ChitturKrishnaswamy","2"
"Bisht,PremBallabh","2"
"Gopalam,B.SV","2"
"Ganesan,AarthiR.","2"
"Vijayan,Venkatathri","2"
"Chelvane,JeyaramaneArout","2"
"Rajagopalan,SubbiahR.","1"
"Sil,Anomitra","1"
"Sethupathi,Kanikrishnan","1"
"AsokaKumar,P.S.","1"
"Hedhili,MohamedNejib","1"
"Varadaraju,UpadhayayulaV.","1"
"Varma,Shikha","1"
"Kelly,ThomasJ.","1"
"Banerjee,SatyajitS.","1"
"Gangopadhyay,Subhashi","1"
"Rao,M.V.","1"
"Barua,Pranabesh","1"
"Radhakrishnan,VijayashreeM.","1"
"Namboodri,RamanCK","1"
"Pillai,SajuSavitha","1"
"Kumar,SunilRSarath","1"
"Kalanoor,BasanthS.","1"
"Raghavan,KavesarySrinivasa","1"
"Patra,Atanu","1"
"Alshareef,HusamN.","1"
"Senthilkumaran,Narayani","1"
"Lama,Hisay","1"
"Rao,D.Krishna","1"
"Sankaranarayanan,V.","1"
"Krishnan,H.","1"
"Bongu,SudhakaraReddy","1"
"DamodaraDas,V.","1"
"Lakshmiraghavan,S.","1"
"Costello,John","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
