Scopus - Analyze author output

"Author name:","Simha, Aditi"
"Scopus author ID:","23986360500"

"Co-authors:","3"

"Co-author","Co-authored documents"

"Evans,RobertMikeL","2"
"Dolai,Pritha","1"
"Baule,Adrian","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
