Scopus - Analyze author output

"Author name:","Venkata Satyanarayana, M."
"Scopus author ID:","22969818500"

"Co-authors:","8"

"Co-author","Co-authored documents"

"Simon,Raja","1"
"Subeesh,T.S.","1"
"Ahmed,AmiraBenM","1"
"Carmichael,HowardJohn","1"
"Bambah,BinduA.","1"
"Vyas,Reeta","1"
"Sudhir,Vivishek","1"
"Rice,PerryR.","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
