Scopus - Analyze author output

"Author name:","Mandayam, Prabha"
"Scopus author ID:","36175062800"

"Co-authors:","7"

"Co-author","Co-authored documents"

"Srinivas,M.D.","4"
"Ng,HuiKhoon","2"
"StephanieWehnerWehner,Stephanie","2"
"Bandyopadhyay,Somshubhro","2"
"Balachandran,Niranjan","1"
"Grassl,Markus","1"
"Wootters,WilliamK.","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
