Scopus - Analyze author output

"Author name:","Roy, Somnath Chanda"
"Scopus author ID:","36062571200"

"Co-authors:","36"

"Co-author","Co-authored documents"

"Bhatnagar,MukeshChander","15"
"Grimes,CraigA.","12"
"Rani,Sanju","10"
"Sharma,GanpatLal","8"
"Jaiswal,Manu","5"
"Rambabu,Y.","5"
"Kanjilal,DinakarK.","4"
"Puri,NeenaK.","3"
"Manchanda,Rachna","3"
"Paulose,Maggie","3"
"Rao,B.Manmadha","3"
"Samanta,SujitB.","3"
"Balakrishnan,VettaiRaman","3"
"Kumar,ManojRaviPavan","2"
"Werner,JacobR.","2"
"Feng,Xinjian","2"
"Varghese,OommanK.","2"
"Karar,Nirmalya","2"
"Zeng,Kefeng","2"
"Mungle,CaseyS.","2"
"Mor,GopalK.","2"
"Agarwal,SeemaK.","2"
"Ong,Keatghee","2"
"Mambrini,GiovanniPimenta","1"
"Banki,ManmadhaRao","1"
"Shao,Ranyuan","1"
"Bao,Ningzhong","1"
"Tathavadekar,MuktaC.","1"
"Cai,Qingyun","1"
"Kim,Sanghoon","1"
"Yoriya,Sorachon","1"
"Chander,Harish","1"
"Kaur,Jaswinder","1"
"Chunchu,Venkatrao","1"
"Latempa,ThomasJoseph","1"
"Kouzoudis,Dimitris","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
