Scopus - Analyze author output

"Author name:","Swaminathan, P."
"Scopus author ID:","57188928494"

"Co-authors:","3"

"Co-author","Co-authored documents"

"Sharma,Sonia","2"
"Ramesh,Pranith","1"
"Bayikadi,Raghavendar","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
