Scopus - Analyze author output

"Author name:","Ram, Gabbita Durga Janaki"
"Scopus author ID:","56611593300"

"Co-authors:","14"

"Co-author","Co-authored documents"

"Karthik,G.M.","3"
"Kottada,RaviSankar","3"
"Rao,S.RajaKoteswara","2"
"Panikar,Santhanu","1"
"Stucker,BrentE.","1"
"Rao,SajjaRamaKoteswara","1"
"Panigrahi,SushantaKumar","1"
"Dilip,J.JohnSamuel","1"
"Rajakumar,Guttikonda","1"
"Kumar,GuttikondaRaja","1"
"FaseeullaKhan,Md","1"
"Guru,P.R.","1"
"Starr,ThomasL.","1"
"Kumar,GeetendraR.","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
