Scopus - Analyze author output

"Author name:","Bhattacharya, Shova S."
"Scopus author ID:","55687304900"

"Co-authors:","59"

"Co-author","Co-authored documents"

"Armstrong,BrianMervyn","14"
"Gamble,HaroldS.","13"
"Maìti,ChinmayKumar","12"
"Padmanabhan,KuppuswamyAnantha","12"
"McCarthy,JohnM.","10"
"Perova,TatianaS.","9"
"Dalapati,GoutamKumar","7"
"Moore,RobertAlan","6"
"Bera,MilanKumar","5"
"Das,SiddharthaC.","5"
"Samanta,SantanuKumar","4"
"Chakraborty,Samarshi","3"
"Chakraborty,Sourja","3"
"Wadsworth,H.J.","3"
"Moore,AlanRL","3"
"Ruddell,FredH.","3"
"McNeill,DavidW.","3"
"Schlipf,Josef","2"
"Chatterjee,Somenath","2"
"Mitchell,NeilSJ","2"
"Varma,Shikha","2"
"Bose,ProbirKumar","2"
"Denvir,DonalJ.","2"
"Liarokapis,Efthymios","2"
"Paramanik,Dipak","2"
"Panda,SubhenduKumar","1"
"Kumar,AmarNath","1"
"Chakraborty,AmitK.","1"
"Venkatesh,T.A.","1"
"Bain,MichaelF.","1"
"Basu,SukumarK.","1"
"Leuthold,Jörn","1"
"Chaudhuri,SubhadraK.","1"
"Gamble,HSS.","1"
"Basu,SoumenN.","1"
"Chakraborty,Saikat","1"
"Krishnamoorthy,MukkaiS.","1"
"Suryanarayana,V.","1"
"Antonakos,Anastasios","1"
"Banerjee,MalayK.","1"
"Saha,Hiranmay","1"
"Astanin,V.V.","1"
"Enikeev,FaridU.","1"
"Wilde,Gerhard","1"
"Saha,Satyajit","1"
"Chaudhuri,SubhadraRay","1"
"Kailath,BinsuJ.","1"
"Chakraborty,SomaDas","1"
"Doradla,SeshagiriRao","1"
"Maji,SwarupKumar","1"
"Satishnarayana,G.V.","1"
"Gorai,Soma","1"
"Mahata,Chandreswar","1"
"Banerjee,MahuaChakraborty","1"
"DasGupta,AmitavaK.","1"
"Bhuniya,A.K.","1"
"Lampakis,Dimitrios","1"
"Bontempi,Elza","1"
"DasGupta,Nandita","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
