Scopus - Analyze author output

"Author name:","Kalpathy, Sreeram K."
"Scopus author ID:","36344767000"

"Co-authors:","9"

"Co-author","Co-authored documents"

"Kumar,Satish","4"
"Francis,LorraineFalter","4"
"Marattukalam,JithinJ.","1"
"Das,MitunB.","1"
"Datta,SusmitK.","1"
"Singh,AmitKumar","1"
"Balla,VamsiKrishna","1"
"Reynolds,TimothyD.","1"
"Bontha,Srikanth","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
