Scopus - Analyze author output

"Author name:","Bhattacharya, Somnath"
"Scopus author ID:","57189368805"

"Co-authors:","6"

"Co-author","Co-authored documents"

"Ghosh,Sundargopal","2"
"Roy,DipakKumar","1"
"Prakash,Rini","1"
"Jagan,Rajamony","1"
"Borthakur,Rosmita","1"
"Mondal,Bijan","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
