Scopus - Analyze author output

"Author name:","Shukla, Ajay Kumar"
"Scopus author ID:","55417648400"

"Co-authors:","26"

"Co-author","Co-authored documents"

"Deo,Brahma","6"
"Mondal,AvijitK.","2"
"Boom,Rob","2"
"Robertson,DavidGC","2"
"Upadhyaya,AnishS.","2"
"Agrawal,DineshK.","1"
"Renganathan,Thiruvengadam","1"
"Kaza,Marutiram","1"
"Sarkar,Sabita","1"
"Philip,Deepu","1"
"Rajesh,G.","1"
"Singh,Nishant","1"
"Pushpavanam,Subramaniam","1"
"Shukla,Ishani","1"
"Millman,StuartM.","1"
"Agarwal,Pratik","1"
"Aslam,MohammadS.","1"
"Snoeijer,Bert","1"
"Scheller,PiotrR.","1"
"Volkova,OlenaA.","1"
"Overbosch,Aart","1"
"Malathi,Madhurai","1"
"Prasad,Kali","1"
"Dmitry,Ryabov","1"
"Kapilashrami,Abha","1"
"Dhirhi,Ravindra","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
