Scopus - Analyze author output

"Author name:","Michael Gromiha, M."
"Scopus author ID:","7006556058"

"Co-authors:","150"

"Co-author","Co-authored documents"

"Selvaraj,Samuel","31"
"Sarai,Akinori","27"
"Suwa,Makiko","18"
"Fukui,Kazuhiko","16"
"Ahmad,Shandar","16"
"Huang,Liangtsung","15"
"Velmurugan,Devadasan","13"
"Kono,Hidetoshi","13"
"Uedaira,Hatsuho","12"
"Thangakani,AnthonyMary","12"
"Ponnuswamy,P.K.","10"
"Ponnuswamy,MondikalipudurNanjappaGounder","10"
"Oobatake,Motohisa","9"
"Ou,Yu-Yen","7"
"Saraboji,Kadhirvel","7"
"Yugandhar,K.","7"
"Nagarajan,Raju","7"
"Prabakaran,Ponraj","6"
"Chen,Shuan","6"
"Kumarevel,ThirumananseriS.","6"
"Kumar,SandeepSaiChetan","6"
"Veluraja,Kasinadar","5"
"An,Jianghong","5"
"Lai,Lienfu","5"
"Yabuki,Yukimitsu","5"
"Selvin,JeyasigamaniFerminAngelo","4"
"Ramakrishnan,Chandrasekaran","4"
"Anoosha,P.","4"
"Taguchi,Y-h.","4"
"Siebers,JörgG.","4"
"Ho,Shinnying","4"
"Horton,PaulB.","4"
"SIMON,István","4"
"Raghava,GajendraPalSingh","4"
"Yokota,Kiyonobu","4"
"Santhosh,Chidangil","4"
"Sakthivel,Ramasamy","4"
"Fukui,Kazuhiko","3"
"Munteanu,MirceaGhH","3"
"Jayaram,Bhyravabhotla","3"
"Imai,Kenichiro","3"
"Pongor,Sándor","3"
"Parthiban,Vijaya","3"
"Sowdhamini,Ramanathan","3"
"Wu,Chaochin","3"
"Parasuraman,Ponnusamy","3"
"Suresh,MuthaiyanXavier","3"
"Magyar,Csaba","3"
"Schomburg,Dietmar","3"
"Huang,Deshuang","3"
"Murugan,Veeramani","3"
"Pujadas,Gerard","2"
"Priyadarzini,ThanuRK","2"
"Kumar,ManishDShaji","2"
"Saranya,N.","2"
"Sekijima,Masakazu","2"
"Kumar,ManojRaviPavan","2"
"Anusuya,Shanmugam","2"
"Aida,Misako","2"
"Chaudhary,Priyashree","2"
"Motono,Chie","2"
"Muthusamy,R.","2"
"Jemimah,Sherlyn","2"
"Kitajima,Koji","2"
"Kaliannan,P.","2"
"Bava,K.Abdulla","2"
"Chakkaravarthi,S.","2"
"Gabriélian,AndreiE.","2"
"Pichierri,Fabio","2"
"Elanthiraiyan,M.","2"
"Harini,Krishnan","2"
"Hwang,Shiowfen","2"
"Naganathan,AthiN.","2"
"Honma,Teruki","1"
"Nagarathnam,Balasubramanian","1"
"Tan,Hao","1"
"Ban,Tomohiro","1"
"Selvaraj,Saravanakumar","1"
"Azevedo,VascoAristonDeCarvalhoCarvalho","1"
"Biswal,S.","1"
"Babu,MadanMadan","1"
"Hsin,Kunyi","1"
"Martis,RemilaL.","1"
"Sugaya,Nobuyoshi","1"
"Prakash,MuthurajG.","1"
"Silva,WandersonMarques","1"
"Yanagisawa,Keisuke","1"
"Wang,Ling","1"
"Okuno,Tatsuya","1"
"Ramakrishnan,C.","1"
"ViswaPoorani,K.","1"
"Kato,Koya","1"
"Mochizuki,Masahiro","1"
"Masilamoni,GunasinghJ.","1"
"Muthusamy,Subramaniam","1"
"Kundu,Srinesh","1"
"Ikeda,Kazuyoshi","1"
"Singh,SameerKumar","1"
"Vimala,A.","1"
"Karpe,SnehalD.","1"
"Nagarajan,R.","1"
"Barh,Debmalya","1"
"MaryThangakani,A.","1"
"Kumar,SandeepP.","1"
"Song,Jiangning","1"
"Balakrishnan,Veluchamy","1"
"Sethumadhavan,Rao","1"
"Gayatri,K.","1"
"Nallusamy,Saranya","1"
"Ito,Junichi","1"
"Chiba,Shuntaro","1"
"Giji,Sadasivam","1"
"Archana,A.","1"
"Abhinandan,Madenhalli","1"
"Kesherwani,Manish","1"
"Chothani,SoniaPankaj","1"
"Sayano,Kenji","1"
"Yasuo,Nobuaki","1"
"Röttger,Richard","1"
"Teramoto,Reiji","1"
"Sankar,KannanSiva","1"
"Singh,Harinder","1"
"Nishimura,Tomoko","1"
"Hoppe,Christian","1"
"Singh,YumlembamHemajit","1"
"Wang,Changsheng","1"
"Tusnády,GáborE.","1"
"Pathak,ManishC.","1"
"Chauhan,JagatSinghIngh","1"
"Suharnan,Sivasundaram","1"
"Takemoto,Kazuhiro","1"
"Iftekhar,Mohammed","1"
"Hirokawa,Takatsugu","1"
"Thomas,ShaliC.","1"
"Folador,EdsonLuizUiz","1"
"Kumar,MohitDShaji","1"
"Chang,Yunmin","1"
"Kumar,PenmetchaKR","1"
"Sávoly,Zoltán","1"
"Gupta,PhalguniK.","1"
"Lathi,V.","1"
"Rajesh,Durairaj","1"
"Fukui,Kazuhiko","1"
"Tompa,DharmaRao","1"
"Yoshino,Ryunosuke","1"
"Fujita,Naoya","1"
"Yamamoto,Kazuki","1"
"Saravanan,KondaMani","1"
"Fukui,Kazhuhiko","1"
"Bevilacqua,Vitoantonio","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
