Scopus - Analyze author output

"Author name:","Chadha, Anju"
"Scopus author ID:","36762163200"

"Co-authors:","18"

"Co-author","Co-authored documents"

"JERINA,DonaldM.","7"
"Sayer,JaneM.","6"
"Yagi,Haruhiko","5"
"Yeh,Herman","4"
"Cheh,Albert","3"
"Agarwal,ShivKD","2"
"Pannell,LewisK.","2"
"Lin,Jyhming","1"
"Amin,ShantuG.","1"
"Desai,DhimantH.","1"
"Krzeminski,Jacek","1"
"Lehr,RolandE.","1"
"Miyata,Naoki","1"
"Shirai,Naohiro","1"
"Kumar,SubodhSanjay","1"
"Schurdak,M.E.","1"
"Wood,AlexanderW.","1"
"Adams,JamesDavid","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
