Scopus - Analyze author output

"Author name:","Vani, Janakiraman"
"Scopus author ID:","14047668100"

"Co-authors:","48"

"Co-author","Co-authored documents"

"Bayry,Jagadeesh","17"
"KAVERI,SriniVenkatesh","17"
"Lacroix-Desmazes,Sébastien","10"
"Shaila,MelkoteSubbarao","10"
"Maddur,MohanS.","7"
"Nayak,RabindranathC.","6"
"Kazatchkine,MichelDaniel","4"
"Elluru,SriRamuluAmulu","3"
"Balaji,KithiganahalliNarayanaswamyArayanaswamy","2"
"Sharma,Meenu","2"
"Chandra,NagasumaR.","2"
"Negi,VirSingh","2"
"Hegde,Pushpa","2"
"Sautès-Fridman,Catheriné","1"
"Sibéril,Sophie","1"
"Sheila,MelukoteS.","1"
"Nagasuma,R.Chandra","1"
"Dimitrov,JordanD.","1"
"Flower,DarrenR.","1"
"Chatterjee,Jhinuk","1"
"Bayary,Jagadeesh","1"
"Berdah,Mikael","1"
"Bansal,Kushagra","1"
"Trinath,Jamma","1"
"Delignat,Sandrine","1"
"Draper,SimonJ.","1"
"Bloch,MarieFrançoise","1"
"Crabol,Yoann","1"
"Lahiri,Ayan","1"
"Chakravortty,Dipshikha","1"
"Tough,DavidF.","1"
"Forbes,EmilyK.","1"
"Mouthon,LucUC","1"
"Beverley,PeterClL","1"
"Lévy,Yves","1"
"Fournier,EmilieM.","1"
"Das,Priyanka","1"
"Tchilian,ElmaZaven","1"
"Holla,Sahana","1"
"Rao,Mohan","1"
"Hermine,Olivier","1"
"Wootla,Bharath","1"
"Othy,Shivashankar","1"
"Davies,MatthewN.","1"
"Lahiri,Amit","1"
"Krishnaswamy,UmaMaheshwari","1"
"Oksenhendler,Éric","1"
"Justin,Jayakani","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
