Scopus - Analyze author output

"Author name:","Verma, Rama Shanker"
"Scopus author ID:","7402268487"

"Co-authors:","125"

"Co-author","Co-authored documents"

"Vidyasekar,Prasanna","11"
"Antony,AsókC.","10"
"Bishi,DillipKumar","9"
"Shyamsunder,Pavithra","9"
"Guhathakurta,Soma","8"
"Mathapati,Santosh","8"
"Cherian,KotturathuMammen","8"
"Santhakumar,Rajalakshmi","6"
"Potala,Sirisha","6"
"Sreejit,P.","5"
"Parameswaran,Sreejit","5"
"Biswal,BijeshKumar","5"
"Mathew,Mrudula","4"
"Ramakrishna,SeeramAnantha","4"
"Venugopal,JayaramaReddyEddy","4"
"Lyakhovich,AlexV.","3"
"Sahoo,SanjeebKumar","3"
"Choudhary,Swati","3"
"Madhumathi,Jayaprakasam","3"
"Kincade,R.Steve","3"
"Emerson,StephenG.","3"
"Pavithra,P.S.","3"
"Prasad,RaviS.","3"
"Sreevidya,Narasimhan","2"
"Prasad,RajendraT.","2"
"Dhanasekaran,Sugapriya","2"
"Sithambaram,Devilakshmi","2"
"Arun,Rajpranap","2"
"Mohan,SheilaP.","2"
"Taichman,RussellS.","2"
"Hoffman,Ronald","2"
"Krishnan,SubhaR.","2"
"Rao,ThadepalliVenuGopal","2"
"Kapadia,NandKishore","2"
"Sridevi,Surapally","2"
"Reilly,MarcelleJ.","2"
"Brandt,JohnE.","2"
"Briddell,RobertA.","2"
"Barth,Stefan","1"
"Krejčí,Lumír","1"
"Sharma,PrinceK.","1"
"Kumar,SujeetSadish","1"
"Lleonart,MatildeE.","1"
"VanUden,N.","1"
"Miller,MichaelE.","1"
"Zaineb,K.C.","1"
"Kane,MadeleineA.","1"
"RamanSuri,C.","1"
"Savitri","1"
"Muthamilselvan,D.Sugapriya","1"
"Andiyappan,Muthumanickam","1"
"Sarvepalli,Jahnavi","1"
"Galla,Satish","1"
"Glück,Stephan","1"
"Natarajan,Viswanathan","1"
"Subramanian,Krishnakumar","1"
"Srinivasan,NatarajanTirupatturIrupattur","1"
"Straneva,JohnE.","1"
"Shlomchik,WarrenD.","1"
"Janani,V.S.","1"
"Dash,SanatKumar","1"
"Gandhi,Sonu","1"
"Jahnavi,Sarvepalli","1"
"Palanivelu,Shanthi","1"
"Sumantran,VenilN.","1"
"Wu,Yujun","1"
"Natarajan,TirupatturSrinivasan","1"
"Spencer-Martins,Isabel","1"
"Unune,A.R.","1"
"Indumathy,R.","1"
"Kumar,SureshRB","1"
"Bruno,Edward","1"
"Ehrenman,Karen","1"
"Gullapalli,Sharada","1"
"Bera,AmalKanti","1"
"Tekkatte,Chandana","1"
"Bhalla,TekChand","1"
"Himabindu,M.","1"
"Barvalia,Maunish","1"
"Rosinke,Reinhard","1"
"LaRosa,JohnCA.","1"
"English,DenisK.","1"
"Govarthanan,Kavitha","1"
"Rallapalli,Suneel","1"
"Bhuvaneshwar,G.S.","1"
"Boon,HuatBay","1"
"Loja,Tomáš","1"
"Debata,NiladriBihari","1"
"Sharma,RajendraK.","1"
"Ganesh,KripaS.","1"
"Kandalam,Mallikarjuna","1"
"Arumugam,SarasaBharati","1"
"Krishnakumar,Subramanian","1"
"Das,SaritK.","1"
"Mitra,Moutushy","1"
"Charumathi,K.H.","1"
"Kumar,Ravi","1"
"Shukla,AkshayRanjan","1"
"Pardo,AlessaM.","1"
"Prasad,Edamana","1"
"UmaMaheswari,Krishnan","1"
"Swain,SandipMadhusudan","1"
"BAQUER,NajmaZaheerAheer","1"
"Devilakshmi,Sithambaram","1"
"Epanchintsev,Alexey","1"
"Verghese,SusanL.","1"
"Jayakumar,Arumugam","1"
"Kumary,ThrikkovilVariathu","1"
"Sundaramoorthy,Subramanian","1"
"ViswambariDevi,R.","1"
"Anand,Akshay","1"
"Vepa,Suryanarayana","1"
"Thakur,Neerja","1"
"Batra,JanendraK.","1"
"Doble,Mukesh","1"
"Ešner,Milan","1"
"Sankaranarayanan,KavithaP.","1"
"Kalasinski,LorrieA.","1"
"Giannola,DianeM.","1"
"Sahu,Giriraj","1"
"Capalash,Neena","1"
"Scribner,WilliamM.","1"
"Kavitha,ManniledamK.","1"
"Kumar,DineshSathish","1"
"Singh,ManjeetK.","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
