Scopus - Analyze author output

"Author name:","Gummadi, Sathyanarayana Naidu"
"Scopus author ID:","6603099886"

"Co-authors:","67"

"Co-author","Co-authored documents"

"Dash,SwatiSucharita","12"
"Kumar,SawanSathish","10"
"Francis,VincentGerardErard","7"
"Sahu,SantoshKumar","6"
"SunilKumar,D.","5"
"Gokulakrishnan,S.","4"
"Rajasekharan,Archita","4"
"Kumar,DhanushSunilPavan","4"
"Panda,TapobrataK.","4"
"Doble,Mukesh","4"
"Chadha,AnjuK.","3"
"Krishnan,ChandrarajRaj","3"
"Kaliaperumal,Tarjan","3"
"Aradhyam,GopalaKrishna","3"
"Menon,AnantK.","3"
"Santhosh,Devarai","3"
"Manoj,Narayanan","3"
"Bhavya,Bhaskaran","2"
"Vinnakota,JanakiManojaAnoja","2"
"Nair,AnjuV.","2"
"Kalyanasundaram,GayathiriT.","2"
"Pappu,J.SharonMano","2"
"SureshKumar,Govindarajan","2"
"Sivagnanam,Ulaganathan","2"
"Lal,Pradeep","2"
"Suryanarayanan,TrichurS.","1"
"Sailaja,NoriSri","1"
"Kumar,KislayAnup","1"
"Ganesh,K.B.","1"
"Kanna,Rajesh","1"
"Poondla,Vijayakumar","1"
"Bakshy,Kiranmayee","1"
"Aneesh,C.NA","1"
"Chang,Qinglong","1"
"Yannam,SudheerKumar","1"
"Théodore,Thomas","1"
"Nagarajan,A.","1"
"Majeed,MohammedAbdul","1"
"Muralidhar,ReddivariV.","1"
"NarayanaMurthy,Shweta","1"
"Puliga,SriLakshmi","1"
"Lionel,AnathC.","1"
"Seenivasan,Ayothiraman","1"
"Sivasankar,P.","1"
"Watkins,WilliamE.","1"
"Padmanabhan,PurnimaV.","1"
"ReddyObulam,VijayaSarathi","1"
"Murthy,ShwetaNarayana","1"
"Dasu,VeerankiVenkata","1"
"Malav,PremN.","1"
"Handa,Suhas","1"
"Subramanyam,Rajagopal","1"
"Hrafnsdóttir,Sigrún","1"
"Regulapati,Rahul","1"
"Rayala,Sarika","1"
"Pradeep,SrivastavaR.","1"
"Agrawal,ManojKunjabihari","1"
"Ashok,Nandhini","1"
"Thirunavukkarasu,Nagamani","1"
"Mohammed,AbdulM.","1"
"RajeshKanna,A.","1"
"GopalaKrishna,A.","1"
"Devarai,Santhosh","1"
"Kumdam,Himabindu","1"
"Walent,JaneH.","1"
"Kumar,KrishnaS.","1"
"Shettihalli,AshokKumarUmar","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
