Scopus - Analyze author output

"Author name:","Raman, Karthik"
"Scopus author ID:","56680842700"

"Co-authors:","3"

"Co-author","Co-authored documents"

"Kulkarni,VishweshV.","4"
"Stan,GuyBart","3"
"Stan,GuyBartV","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
