Scopus - Analyze author output

"Author name:","Mahapatra, Nitish R."
"Scopus author ID:","7004619879"

"Co-authors:","150"

"Co-author","Co-authored documents"

"O'Connor,DanielT.","26"
"Mahata,SushilK.","25"
"Mahata,ManjulaK.","18"
"Sonawane,ParshuramJ.","10"
"Ghosh,Sajalendu","10"
"Sahu,BhavaniS.","10"
"Sasi,BinuK.","9"
"Allu,PrasannaKR","8"
"Taupenot,LaurentJC","8"
"Banerjee,PatakiC.","7"
"Schork.,NicholasJ.","7"
"Senapati,Sanjib","6"
"Friese,RyanS.","6"
"Subramanian,Lakshmi","6"
"Mullasari,AjitS.","5"
"Gupta,Vinayak","5"
"Maji,SamirKumar","5"
"Bera,AmalKanti","5"
"Rao,Fangwen","5"
"Ziegler,MichaelG.","5"
"Schmid-Schönbein,GeertW.","4"
"Khan,Abrarali","4"
"Mahboubi,Payam","4"
"Hamilton,BruceA.","4"
"Gayen,JiaurRahman","4"
"Wen,Gen","4"
"Sahu,Giriraj","4"
"Vaingankar,SuchetaM.","3"
"Salem,RanyM.","3"
"Mohan,Jagan","2"
"Munirajan,ArasambattuKannan","2"
"Obbineni,JaganMohan","2"
"Kalyani,Ananthamohan","2"
"Stridsberg,Mats","2"
"Jirout,MartinL.","2"
"Chirasani,VenkatR.","2"
"Harper,KimberlyL.","2"
"Kennedy,BrianP.","2"
"Pravenec,Michal","2"
"Lillie,ElizabethOsth","2"
"Zhang,Kuixing","2"
"Gomathi,BalashankarS.","2"
"Cadman,PeterE.","2"
"Ehret,GeorgB.","2"
"Parmer,RobertJ.","2"
"Singh,PradeepKumar","2"
"Courel,Maïté","2"
"Vishnuprabu,Durairajpandian","2"
"Nandi,Suvobroto","2"
"Bhaskar,L.VKS","1"
"Ghosh,Nillu","1"
"Swarnakar,Snehasikta","1"
"Mohan,Viswanathan","1"
"Arige,Vikas","1"
"Chakraborty,Bodhisattwa","1"
"McDonough,PatrickM.","1"
"Deb,Chirajyoti","1"
"Shimano,Hitoshi","1"
"Schork,AndrewJ.","1"
"Nievergelt,CarolineM.","1"
"Geedi,Parimala","1"
"Iijima,Yoshimi","1"
"Tanaka,Kiyoji","1"
"Napolitan,PhilipS.","1"
"Choi,Youngju","1"
"Sarkar,ParthaK.","1"
"Nakata,Yoshio","1"
"Huttner,WielandB.","1"
"Biswas,Nilima","1"
"Wikoff,WilliamR.","1"
"Kapopara,PiyushkumarR.","1"
"Dixit,Madhulika","1"
"Gupta,ArnabDev","1"
"Kuno,Shinya","1"
"NagaPrasad,SathyamanglaVnNaga","1"
"Takekoshi,Kazuhiro","1"
"Zídek,Václav","1"
"Ramamurthy,Thandavaryan","1"
"Chen,Yuqing","1"
"Sugasawa,Takehito","1"
"Kesh,Kousik","1"
"Bodhini,Dhanasekaran","1"
"Nguyen,MinhTuanAudrey","1"
"SinhaHikim,AmiyaP.","1"
"Vallon,Volker","1"
"Eskin,Eleazar","1"
"Siuzdak,Gary","1"
"Kawakami,Yasushi","1"
"Geetha,Subramanian","1"
"Hook,VivianYH","1"
"Eraly,SatishA.","1"
"Barshop,BruceA.","1"
"Kiranmayi,Malapaka","1"
"Cale,Mo","1"
"Das,MadhusudanK.","1"
"Gerdes,HansHermann","1"
"Nigám,SanjayK.","1"
"Natarajan,Bhargavi","1"
"Schmid-Schoenbein,GeertW.","1"
"Tsigelny,IgorF.","1"
"Fries,RyanS.","1"
"Křen,Vladimír","1"
"Shih,PeiAnBettyEtty","1"
"Wu,Wei","1"
"Mani,Anitha","1"
"Zhang,Kuizing","1"
"Dalton,NancyD.","1"
"Otsuki,Takeshi","1"
"Radha,Venkatesan","1"
"Datta,ArunK.","1"
"Preece,NicholasE.","1"
"Miura,Masahiro","1"
"Sharma,Saurabh","1"
"Ray,SaugataSinha","1"
"Kim,Hyungsuk","1"
"Altshuler,AngelinaE.","1"
"Hazra,ParthaP.","1"
"Das,SaritK.","1"
"Gangoiti,JonA.","1"
"Chitbangonsyn,SurinW.","1"
"Hübner,Norbert","1"
"Pradeep,ThalappilP.","1"
"Truong,DavidM.","1"
"Waalen,Jill","1"
"RodríguezFlores,JuanLorenzo","1"
"Nissato,Sumiko","1"
"Maeda,Seiji","1"
"Greenwood,TiffanyA.","1"
"Lenka,Govinda","1"
"Hightower,CielMakena","1"
"Aitman,TimothyJohn","1"
"Martelli,ElizabethE.","1"
"Kumaragurubaran,Rathnakumar","1"
"Khullar,Madhu","1"
"Singh,PradeepK.","1"
"Sugawara,Jun","1"
"Ye,Chun","1"
"Iemitsu,Motoyuki","1"
"AbdulKhaliq,R.","1"
"Rieg,Timo","1"
"Singh,PradeepK.","1"
"Maatz,Henrike","1"
"MiramontesGonzález,JoséPablo","1"
"Smith,DouglasWilliam","1"
"Das,Madhusudan","1"
"Ghosh,Dhiman","1"
"Bhattacharya,Samir","1"
"Brar,BhawanjitK.","1"
"Munroe,PatriciaB.","1"
"Kaler,GregoryV.","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
