Scopus - Analyze author output

"Author name:","Dixit, Madhulika N."
"Scopus author ID:","7103007405"

"Co-authors:","92"

"Co-author","Co-authored documents"

"HASSID,AVIVI.","6"
"Ceacǎreanu,Bogdan","6"
"Giri,Hemant","5"
"Fleming,Ingrid","5"
"Fißlthaler,Beate","4"
"Busse,Rudi","4"
"Potunuru,UmaRani","4"
"Zhuang,Daming","4"
"Rao,Kesturkrishnamurthy","3"
"Kesavan,Rushendhiran","3"
"Nagini,Siddavaram","3"
"Mohan,ViswanathanKrishna","3"
"Nathan,AbelArulRul","3"
"Bairagi,Soumi","2"
"Chandel,Shivam","2"
"Babu,SubashS.","2"
"Joksić,Gordana","2"
"Chapman,KennethE.","2"
"Ganugula,Raghu","2"
"Kowshik,Jaganathan","2"
"T.,Avaneesh","2"
"Srivastava,Smita","2"
"Rathnakumar,K.","2"
"Rao,GadiparthiN.","2"
"Venugopalan,Aarthi","2"
"Bera,AmalKanti","2"
"Waters,ChristopherM.","2"
"Ceacǎreanu,AliceCorina","2"
"Baba,Abdulbasit","2"
"Lin,Yi","2"
"Chang,Yingzi","2"
"Ram,Uma","2"
"Kumar,PutchaUday","1"
"Sophia,Josephraj","1"
"Anand,SettyB.","1"
"Upadhyay,Swapna","1"
"Sreekumar,Sooriyakala","1"
"Pistrosch,Frank","1"
"Kavitha,KrishnamurthyV.","1"
"Narayanasamy,Abirami","1"
"Bölck,Birgit","1"
"RaniP.,Uma","1"
"SuhasKala,Kulkarni","1"
"Abhijit,Shiny","1"
"Chitiprolu,Maneka","1"
"Pu,Qinghua","1"
"Badenhoop,Klaus","1"
"KumarP.,Uday","1"
"Mohamed,AnnisuddinHabib","1"
"Ghosh,A.","1"
"Ashiwinkumar,MeruV.","1"
"CharanTej,MalluAbhiram","1"
"Kumar,NathellaPavanAvan","1"
"Loot,AnnemariekeE.","1"
"Dwarakanath,LingaS.","1"
"Gupta,Monica","1"
"Randriamboavonjy,Voahanginirina","1"
"Chakroborty,Anand","1"
"BALASUBRAMANYAM,Muthuswamy","1"
"Reddy,GeereddyBhanuprakash","1"
"Yeh,S.F.","1"
"Mohan,Viswanathan","1"
"Bendre,R.","1"
"Boulanger,ChantalM.","1"
"Kodgire,Prashant","1"
"Bhaskaran,Regin","1"
"Upadhyay,S.","1"
"Savant,Soniya","1"
"Thiyagarajan,Paranthaman","1"
"Reddy,G.Deepak","1"
"Schwinger,RobertHG","1"
"Thautam,Avaneesh","1"
"Rangan,Shreyas","1"
"Murudkar,CharutaS.","1"
"Dhar,Monalisa","1"
"Muthuramu,Ilayaraja","1"
"Manickam,Nagaraj","1"
"Augustin,HellmutG.","1"
"Krishnaraj,Jayaraman","1"
"Gokulakrishnan,Kuppan","1"
"Bess,Elke","1"
"Anuradha,SathishK.","1"
"Reddy,G.Bhanuprakash","1"
"Gopal,Jayashree","1"
"Noll,Thomas","1"
"Mitra,SoumyaK.","1"
"COHEN,RichardAlan","1"
"Harish,Ranjani","1"
"Härtel,FraukeViola","1"
"Sahu,Giriraj","1"
"Nastasijević,BranislavJ.","1"
"Sreejayan,Nair","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
