Scopus - Analyze author output

"Author name:","Bandyopadhyay, Sandipan"
"Scopus author ID:","7402057840"

"Co-authors:","34"

"Co-author","Co-authored documents"

"Ghosal,Ashitava","10"
"Srivatsan,RangaprasadArun","7"
"Mahindrakar,ArunD.","3"
"SaravanaKumar,G.","2"
"Agarwal,Abhishek","2"
"Nasa,Chaman","2"
"Muralidharan,Vijay","2"
"Kodati,Madhu","2"
"Badduri,Jaideep","2"
"Vinod,AbrahamP.","2"
"Agarwal,Saurav","1"
"Kalla,Rohit","1"
"Chatra,Kishen","1"
"Nagarajan,Arjun","1"
"Tetik,Halil","1"
"Tamilmani,Edison","1"
"Mohan,SanthakumarVRohith","1"
"Kannapan,Deepti","1"
"Kumar,GurunathanSaravanaDeepak","1"
"Anwar,SadiqMohamed","1"
"Shah,SurilV.","1"
"SruteeshKumar,B.","1"
"Patel,Dhruvesh","1"
"Nag,Anirban","1"
"Saha,Subirkumar","1"
"Ravani,Bahram","1"
"Arikere,Aditya","1"
"Agarwal,AbhishekK.","1"
"Kiper,Gökhan","1"
"PraneethKumar,B.","1"
"Jagannath,M.","1"
"Shanker,Viswanath","1"
"Reddy,K.Vikranth","1"
"Sujatha,ChM.","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
