Scopus - Analyze author output

"Author name:","Krishna Kumar, Ramarathnam Krishna"
"Scopus author ID:","57084432200"

"Co-authors:","53"

"Co-author","Co-authored documents"

"Balakrishnan,KomarakshiRajagopalan","5"
"Aravamudan,Gopalaswamiengar","5"
"Rao,K.VNarasimha","4"
"Singaperumal,Makaram","4"
"Udupa,MRRamakrishna","4"
"Bohara,P.C.","3"
"Somashekhar,S.Hiremath","3"
"NarasimhaRao,K.V.","3"
"Rajashree,S.S.","2"
"Fun,Hoongkun","2"
"Sivakumar,KandasamyM.","2"
"Balaramakrishna,N.","2"
"Prabhakar,O.","2"
"Reddy,JunuthulaN.","2"
"Philip,PeterK.","2"
"Ramakrishnan,N.","2"
"Mukhopadhyay,Rabindra","2"
"Seshasayee,Maha","2"
"RoshanKumar,D.","2"
"Narasimhan,Ramarthinam","2"
"Ravishankar,C.","2"
"Sowmianarayanan,S.","1"
"Chandrasekaran,Annamalai","1"
"Quinton,AnnE.","1"
"Hiremath,SomashekharS.","1"
"Sridar,Pradeeba","1"
"Rao,A.Venugopal","1"
"Misra,V.K.","1"
"Kumar,AnandSuresh","1"
"Rampal,Hem","1"
"Balakrishnan,KomarakshiR.","1"
"Feng,Dagan","1"
"Selvam,ParasuramanPanneer","1"
"Sripathi,VangipuramCanchi","1"
"KalyanaSundaram,GovindaBalan","1"
"Kurbet,ShivakantN.","1"
"Seshasayee,R.","1"
"Kurian,NainanP.","1"
"Ramanathan,Balaji","1"
"Gnyaneshwar,Ramakrishna","1"
"Nanan,RalphKayHeinrich","1"
"Palanivelu,Sakthivel","1"
"Subhani,Maboo","1"
"Yvon,Klaus","1"
"Kim,Jinman","1"
"Kumar,AshnilSVPavan","1"
"Shenoy,VijayB.","1"
"Das,TaraprasadPrasad","1"
"Alagappan,A.Vijay","1"
"Beena,KrishnanSulochana","1"
"VenugopalRao,A.","1"
"Mangalaprakash,Arun","1"
"Rengarajan,Govind","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
