Scopus - Analyze author output

"Author name:","Muthuganapathy, Ramanathan"
"Scopus author ID:","23398034700"

"Co-authors:","26"

"Co-author","Co-authored documents"

"Peethambaran,Jiju","6"
"Parakkat,AmalDev","4"
"Ramani,KarthikV.","3"
"Kim,MyungSoo","2"
"Sundar,BharathRam","2"
"Elber,Gershon","2"
"Ganapathy,Harish","2"
"Ramu,Palaniappan","2"
"Hanniel,Iddo","1"
"Kusmakar,Shitanshu","1"
"Gupta,AshishX.","1"
"Chunduru,Abhijith","1"
"Barequet,Gill","1"
"Methirumangalath,Subhasree","1"
"Goyal,Manish","1"
"Joseph,Philumon","1"
"Sellamani,Subramani","1"
"Soni,Aditya","1"
"Bandyopadhyay,Sandipan","1"
"Jain,AmitKumar","1"
"Tiwari,Rajat","1"
"Hoffman,ChristophM.","1"
"Murugappan,Sundar","1"
"DevParakkat,Amal","1"
"Venkataraman,VishwanathA.","1"
"Kalyanaraman,Yagnanarayanan","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
