Scopus - Analyze author output

"Author name:","Santra, Tuhin Subhra"
"Scopus author ID:","36061477800"

"Co-authors:","38"

"Co-author","Co-authored documents"

"Tseng,Fangang","14"
"Wang,Pencheng","7"
"Bhattacharyya,T.K.","4"
"Barik,T.K.","4"
"Borana,Jayant","3"
"Kar,Srabani","2"
"Chen,Tsungju","2"
"Chang,Hwanyou","2"
"Chen,Shengchiech","2"
"Patel,PriyankJ.","2"
"Guha,PradiptaK.","1"
"Liu,C.H.","1"
"Ganatathi,Aswin","1"
"Chiu,C.","1"
"Wu,Tinghsiang","1"
"Shanmugam,MunieshMuthaiyan","1"
"Wu,Yichien","1"
"Chang,Chiajung","1"
"Wen,Ximiao","1"
"Agrawal,Neha","1"
"Teitell,MichaelA.","1"
"Kar,Arnab","1"
"Datta,Sumana","1"
"Wang,P.C.","1"
"Wan,Pencheng","1"
"Horwitz,MarcusA.","1"
"Clemens,DanielL.","1"
"Chiou,Peiyu","1"
"Chen,Chihwei","1"
"Agarwal,Nishant","1"
"Lee,Baiyu","1"
"Chang,Chiajung","1"
"Bar,Mita","1"
"Mishra,Prabhash","1"
"Tseng,Fangang","1"
"Adhikary,Apu","1"
"Chang,Hwanyou","1"
"Lee,Chunwei","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
