Scopus - Analyze author output

"Author name:","Mittal, Anurag"
"Scopus author ID:","7103357341"

"Co-authors:","48"

"Co-author","Co-authored documents"

"Davis,LarrySteven","14"
"Paragios,NikosK.","6"
"Gupta,RajeshKumarC","5"
"Lim,Sernam","5"
"Gupta,Abhinav","3"
"Balasubramanian,Prashanth","2"
"Katti,AnoopR.","2"
"Ramesh,Visvanathan","2"
"Ravishankar,Saiprasad","2"
"Monnet,Antoine","2"
"Jain,ArpitN.","2"
"Setia,Achint","2"
"Patel,Vismay","1"
"Wong,BanP.","1"
"Gene,Yakup","1"
"Zhao,Liang","1"
"Ramasubramanian,Mahesh","1"
"Patil,HarshalRohidas","1"
"Mishra,AshishN.","1"
"Panda,Swagatika","1"
"Manickavasagam,Venkatesh","1"
"Gao,X.","1"
"Subramaniam,Arulkumar","1"
"Patnaik,Renuka","1"
"Agrawal,Motilal","1"
"Cao,Yu","1"
"Sailaja,ReddyM.","1"
"Jain,HimanshuPrakash","1"
"Tsin,Yanghai","1"
"Sharma,Sushant","1"
"Starr,Greg","1"
"Das,Sukhendu","1"
"Huttenlocher,DanielP.","1"
"Bhattacharjee,SreyaseeDas","1"
"Elgammal,AhmedM.","1"
"DasBhattacharjee,Sreyasee","1"
"Parui,Sarthak","1"
"Davis,LorryS.","1"
"Davis,Larry","1"
"Parag,Toufiq","1"
"Ramesh,Visvanathan","1"
"Marvaniya,Smit","1"
"Comaniciu,Dorin","1"
"Verma,VinayKumar","1"
"Ravindran,SwarnaK.","1"
"Zhu,Ying","1"
"Subramanian,Anbumani","1"
"Zoghlami,Imad","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
