Scopus - Analyze author output

"Author name:","Raghavendra Rao, B. V."
"Scopus author ID:","39262177900"

"Co-authors:","7"

"Co-author","Co-authored documents"

"Mahajan,Meena","2"
"JayalalSarma,M.N.","2"
"Engels,Christian","1"
"Thomas,MichaelW.","1"
"Vollmer,Heribert","1"
"Datta,Samir","1"
"Chauhan,Ankit","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
