Scopus - Analyze author output

"Author name:","Janakiram, Dharanipragada J."
"Scopus author ID:","7006711833"

"Co-authors:","67"

"Co-author","Co-authored documents"

"Srinivas,AgneeswaranVijay","5"
"Balaji,SubramanianJ.","4"
"Kumar,ArunRaj","4"
"Rajani,Vineet","4"
"Mehta,Hemang","4"
"ReddyV.,AdiMallikarjuna","3"
"Mohamed,MalukAMaluk","3"
"Reddy,M.Venkateswara","2"
"VijaySrinivas,A.","2"
"Pingali,GopalSarma","2"
"Kailasam,Sriram","2"
"PhaniKumar,A.VU","2"
"Kumar,AkshatVUPhani","2"
"Dhawalia,Prateek","2"
"Mohan,T.S.","2"
"Ponnavaikko,Kovendhan","2"
"Buyya,Rajkumar","1"
"Devanathan,V.R.","1"
"Kulkarni,VinayD.","1"
"Shyamasundar,RudrapatnaK.","1"
"Muthukumar,R.M.","1"
"Kothari,Ravi","1"
"Ziekow,Holger","1"
"Barat,Souvik","1"
"Gopinath,Tarun","1"
"Bellur,Umesh","1"
"Paul,Sanjoy","1"
"Jyothi,JyothiJyothi","1"
"Agneeswaran,VijaySriinivas","1"
"Reddy,K.VK","1"
"Kalogeraki,Vana","1"
"Dasgupta,KoustuvS.","1"
"Renumol,V.G.","1"
"Parashar,Manish","1"
"Patra,Deepankar","1"
"Raj,Arun","1"
"Kulkarni,Vinay","1"
"Kumar,GulshanAshok","1"
"Rajesh,J.","1"
"Jyothi,B.S.","1"
"Kumar,SwarunSantosh","1"
"Felber,PascalA.","1"
"Sen,Koushik","1"
"Padmanabhuni,Srinivas","1"
"Kulkarni,Puru","1"
"Kumar,AmriteshUday","1"
"Chauhan,Himanshu","1"
"Jerzak,Zbigniew","1"
"VinayKumarReddy,K.","1"
"Sharma,TusharN.","1"
"Montogomery,Todd","1"
"VenkateswaraReddy,M.","1"
"Gunnam,Ashok","1"
"MalukMohamed,MulkAbdul","1"
"Shastri,Lokendra","1"
"Babu,ChitraNarendra","1"
"Wolf,AlexanderL.","1"
"Shyamsunder,R.K.","1"
"Eyers,DavidM.","1"
"Kumar,Dinesh","1"
"Jayaprakash,Sharath","1"
"Nadella,Suneetha","1"
"AdimallikarjunaReddy,V.","1"
"Venkateswarlu,R.","1"
"Venkateswarlu,RondaLK","1"
"Agneeswaran,VijaySrinivas","1"
"Suneetha,N.","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
