Scopus - Analyze author output

"Author name:","Murthy, Hema A."
"Scopus author ID:","57136460900"

"Co-authors:","150"

"Co-author","Co-authored documents"

"Hegde,RajeshM.","11"
"Nagarajan,Thareswari","10"
"Gonsalves,TimothyA.","8"
"Padmanabhan,Ramakrishna","7"
"Madikeri,SrikanthR.","7"
"Bellur,Ashwin","7"
"Singh,SanasamRanbir","5"
"Yegnanarayana,Bayya","4"
"Sebastian,Jilt","4"
"Rajan,RajThilak","3"
"Kasthuri,G.R.","3"
"Shanmugam,S.Aswin","3"
"Khare,Shreya","3"
"Brunet,R.Golda","3"
"Gadde,VenkataRamanaRao","3"
"Prakash,Anusha","3"
"Prakash,JeenaJ.","3"
"Bhandari,Akshay","3"
"KamakshiPrasad,V.","3"
"BinilKumar,S.L.","2"
"Sarada,G.Lakshmi","2"
"James,CyriacJ.","2"
"Prasanna,S.RM","2"
"Anantapadmanabhan,Akshay","2"
"Janakiraman,Rajesh","2"
"Krishnan,RaghavaRamesh","2"
"Singh,BiraChandra","2"
"Ramalingam,C.S.","2"
"Sao,Anilkumar","2"
"Chaitanya,KumarJ.","2"
"Ramya,RaviS.","2"
"Divakaran,DinilMon","2"
"Saranya,M.S.","2"
"ManojKumar,PantalingalA.","2"
"Prabhakar,A.","2"
"Asha,T.","2"
"Sajini,T.","2"
"Sarala,Padi","2"
"Vinodh,M.V.","2"
"Krishnan,K.Raghava","2"
"Kumar,Pranaw","2"
"Ishwar,Vignesh","2"
"Raghavendra,Veera","1"
"Dutta,Shrey","1"
"Christina,S.Lilly","1"
"Beaufays,Françoise","1"
"Pradhan,Abhijit","1"
"Patel,TanvinaB.","1"
"Vivekanandan,Deepa","1"
"RamanaRao,GaddeV.","1"
"Christina,Lilly","1"
"Saha,Arup","1"
"Konjengbam,Anand","1"
"Thangavelu,Nagarajan","1"
"Krishnan,Raghav","1"
"Kant,Shri","1"
"Neethu,E.A.","1"
"KarthikPandia,D.S.","1"
"H.G.,Ranjani","1"
"Serra,Xavier","1"
"Nottath,Subhash","1"
"Lakshmi,A.Jaya","1"
"Musfir,Mohammed","1"
"Shah,NirmeshJ.","1"
"Rao,Preeti","1"
"Hemalatha,N.","1"
"Glisa,T.K.","1"
"Adiga,Nagaraj","1"
"Thirumurthi,Menaga","1"
"Rao,M.Nageshwara","1"
"Bhadran,T.G.","1"
"Sekhar,ChelluChandra","1"
"Dey,Subhadeep","1"
"RaghavaKrishnan,K.","1"
"Chevireddy,Sadhana","1"
"Venugopalakrishna,Y.R.","1"
"Qiao,Shuo","1"
"Kumar,ManojSandeep","1"
"Behera,Naliniprava","1"
"Babu,Anjana","1"
"Chaudhari,SantoshK.","1"
"Sivaraman,UmayalpuramK.","1"
"Shajahan,DimpleA.","1"
"Sait,SaadY.","1"
"Maral,Vishal","1"
"Srikanth,MunirathnamR.","1"
"ChaitanyaKumar,J.","1"
"KrishnanParthasarathi,SreeHari","1"
"Anand,Konjengbam","1"
"Prabu,S.","1"
"Basu,Tulika","1"
"Pal,Radhika","1"
"Annamalai,Gandhi","1"
"Vignesh,S.Rupak","1"
"Narendranath,M.","1"
"Boothalingam,Ramani","1"
"Gopi,Arun","1"
"Pandit,Vedhas","1"
"Suthakar,N.M.","1"
"Susan,Anila","1"
"Talambedu,Asha","1"
"Chandra,Somnath","1"
"Diana,MatteoSheeba","1"
"Kuriakose,Jom","1"
"Rajendran,Srividhya","1"
"Parthasarathi,SreeHariKrishnan","1"
"Dawalatabad,Nauman","1"
"RanbirSingh,Sanasam","1"
"Pandia,D.SKarthik","1"
"Indumathi,R.","1"
"ChandraSekhar,C.","1"
"Kumar,Manoj","1"
"Sharma,Bidisha","1"
"Heck,LarryP.","1"
"Lata,Swaran","1"
"Talukdar,PranhariH.","1"
"Ganguli,KaustuvKanti","1"
"Sarma,BiswajitDev","1"
"AswinShanmugam,S.","1"
"Kishore,ShalineeP.","1"
"Rao,GaddeVRamana","1"
"Fathima,S.Tanveer","1"
"Rao,Krothapallisreenivasa","1"
"Sailor,HardikB.","1"
"Kumar,NareshKiran","1"
"Ranjan,Nikhil","1"
"Panchamukhi,Vadiraj","1"
"SreeHariKrishnan,P.","1"
"Bommepally,Kartik","1"
"Gulati,Sankalp","1"
"Salamon,Justin","1"
"Subramanian,ManiP.","1"
"Thakare,DeepaliM.","1"
"Acharyaa,Purnendu","1"
"Balamurugan,K.","1"
"Vidhya,R.","1"
"Nagireddy,Sreenivasulu","1"
"Ross,JoeCheri","1"
"Kumar,RakeshDilip","1"
"Tyagi,Hemant","1"
"Badri,NarayanK.","1"
"Narendra,N.P.","1"
"Mohana,N.","1"
"Reddy,MrsRamasubbaS","1"
"SherlinSolomi,V.","1"
"Thomas,Samuel","1"
"Bhuvaneshwari,M.","1"
"Pani,SushantaK.","1"
"Gladston,AnushiyaRachel","1"
"Praveen,M.","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
