Scopus - Analyze author output

"Author name:","Murthy, Hema A."
"Scopus author ID:","57136461300"

"Co-authors:","7"

"Co-author","Co-authored documents"

"Yegnanarayana,Bayya","5"
"Yegnarayana,B.","2"
"MadhuMurthy,K.V.","2"
"Duncan,GeorgeA.","1"
"Murthy,K.VMadhu","1"
"Haykin,SimonS.","1"
"Ramachandran,VinodR.","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
