Scopus - Analyze author output

"Author name:","Rebeiro, Chester"
"Scopus author ID:","24473134800"

"Co-authors:","27"

"Co-author","Co-authored documents"

"Mukhopadhyay,Debdeep","26"
"Roy,SujoySinha","6"
"Bhattacharya,Sarani","5"
"Nguyen,PhuongHa","2"
"Poddar,Rishabh","2"
"Datta,AmitavaK.","2"
"Selvakumar,David","2"
"Kolay,Souvik","2"
"Khurana,Sagar","2"
"Sharma,Sahil","1"
"Takahashi,Junko","1"
"Poschmann,AxelY.","1"
"Bhasin,ShivamS.","1"
"Hajra,Suvadeep","1"
"Reddy,DamodarSankara","1"
"Sadhukhan,Anupam","1"
"Guilley,Sylvain","1"
"Devi,A.SL","1"
"SinhaRoy,Sujoy","1"
"RoyChowdhury,Dipanwita","1"
"Dixit,TanuHari","1"
"Wang,Huaxiong","1"
"Fukunaga,Toshinori","1"
"Mondal,MainackK.","1"
"Pitchiah,R.","1"
"Bajaj,Gaurav","1"
"Chakraborty,Abhishek","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
