Scopus - Analyze author output

"Author name:","Nandivada, V. Krishna"
"Scopus author ID:","8940304200"

"Co-authors:","33"

"Co-author","Co-authored documents"

"Palsberg,Jens","4"
"Shirako,Jun","3"
"Sarkar,Vivek","3"
"Varma,Pradeep","3"
"Zhao,Jisheng","3"
"Sur,Sayantan","2"
"Kodali,SreedharB.","2"
"Castaños,JoséGabriel","2"
"Saha,Diptikalyan","2"
"Barik,Rajkishore","2"
"Peshansky,Igor","2"
"Nanda,MangalaGowri","2"
"Saraswat,VijayA.","2"
"Bikshandi,Ganesh","2"
"Dhoolia,Pankaj","2"
"Wen,Tong","2"
"Shyamasundar,RudrapatnaK.","1"
"Field,JohnC.","1"
"Chakraborty,Soham","1"
"Gupta,Kartik","1"
"Jagannathan,Suresh","1"
"Sinha,Saurabh","1"
"Chandra,SatishVijaya","1"
"Sinha,VibhaSinghal","1"
"Ghosh,AnupKumar","1"
"Agarwal,Shivali","1"
"Aloor,Raghesh","1"
"Sankar,Aravind","1"
"Pereira,FernandoMagnoQuintão","1"
"Bhandari,Abhilash","1"
"Chakraborty,SohamSundar","1"
"Komondoor,Raghavan","1"
"Nandy,Anjan","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
