Scopus - Analyze author output

"Author name:","Ranu, Sayan"
"Scopus author ID:","26666149900"

"Co-authors:","30"

"Co-author","Co-authored documents"

"Singh,AmbujK.","8"
"Raghavan,SriramV.","4"
"Banerjee,Prithu","3"
"Telang,AdityaD.","3"
"Hoang,Minh","2"
"Deepak,PuneetM.","2"
"Mehta,SameepB.","2"
"Kokku,Ravi","2"
"Kolar,Vinay","2"
"Subramainan,AnandPrabhu","1"
"Rastogi,RajeevR.","1"
"Chaoji,VineetS.","1"
"Bhatt,RushiP.","1"
"Pande,Shiladitya","1"
"Deshpande,PrasadM.","1"
"Srivastava,Shivam","1"
"Mitra,Shubhadip","1"
"Gurukar,Saket","1"
"Shrinivasan,YedendraBabu","1"
"Singh,Animesh","1"
"Swamidass,SanjayJoshua","1"
"Gopi,Soundhararajan","1"
"Padmanabhan,Deepak","1"
"Krishnan,Adit","1"
"Calhoun,BradleyT.","1"
"Ravindran,Balaraman","1"
"Rajasekaran,Nandakumar","1"
"Yawalkar,Pranali","1"
"Bhattacharya,ArnabB.","1"
"Naganathan,AthiN.","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
