Scopus - Analyze author output

"Author name:","Kamakoti, Veezhinathan"
"Scopus author ID:","6603174058"

"Co-authors:","150"

"Co-author","Co-authored documents"

"Devanathan,V.R.","15"
"Srinivasan,SambasivaH.","9"
"Sashikanth,M.","8"
"Suresh,SanthoshVS","8"
"Ravikumar,CPP.","7"
"Chandrasekhar,Vikram","7"
"Potluri,Seetal","6"
"Seth,Kavish","6"
"Gala,Neel","5"
"Manimegalai,R.","5"
"Muthukaruppan,Annamalai","5"
"PanduRangan,Chandrasekaran","5"
"Visvanathan,Vish","5"
"Gräf,Thorsten","4"
"Mupid,AmolJ.","4"
"Jayaram,B.","4"
"Ramani,AdityaS.","4"
"Patnaik,Milan","3"
"Hari,SivaKumarSastry","3"
"Chandrachoodan,Nitin","3"
"Reddy,E.SyamSundar","3"
"Vedula,VivekanandaM.","3"
"Jagan,Lavanya","3"
"Bhattacharya,AbhijitK.","3"
"Najeeb,K.","3"
"Sudha,N.","3"
"Garg,Vivek","3"
"Narayanan,Vijaykirshnan","3"
"Kumar,LautKalyan","3"
"ManojKumar,A.","3"
"Pratibha,P.","2"
"NoorMahammad,SkK.","2"
"Gandhi,Virat","2"
"Prasanth,M.","2"
"Borra,SivaNageswaraRao","2"
"Rangan,ChandrasekharanPandu","2"
"KalyanKumar,L.","2"
"Balachandran,Shankar","2"
"Mehrotra,RajatK.","2"
"Kumar,AnishS.","2"
"Das,Sukhendu","2"
"Trinadh,AkulaSatya","2"
"Majhi,AnantaK.","2"
"Torvi,PavanVithal","2"
"Prasanna,ChakkaSivaSai","2"
"Shyamala,K.","2"
"Korgaonkar,Kunal","2"
"Vijaykrishnan,Narayanan","2"
"Rao,B.SN","2"
"Konda,V.VR","2"
"UdayBhaskar,K.","2"
"Mutyam,Madhu","2"
"Kumar,MrinalPawan","2"
"SobhanBabu,Ch","2"
"Balakrishnan,NarayanaswamyT.","2"
"PavanKumar,A.","2"
"Srinivasan,Karthik","1"
"Chauhan,Vikas","1"
"Parameswaran,Sri","1"
"Trinadh,Satya","1"
"Tomar,Deepak","1"
"Madhu,Mutyam","1"
"Muralidharan,Vignesh","1"
"Kumar,AnjanManoj","1"
"Arvind,K.","1"
"SyamSundarReddy,E.","1"
"Chidhambaranathan,R.","1"
"DeMichelix,Giovanni","1"
"Babu,ChSobhan","1"
"Annamalai,V.","1"
"Gururaj,Karthik","1"
"Vanjari,Ashish","1"
"Latha,N.SJanaki","1"
"Benini,Luca","1"
"Singh,RatanDeep","1"
"Garg,Chirag","1"
"Garimella,Kashyap","1"
"Bobba,Jayaram","1"
"KrishnaGiri,N.HV","1"
"Kunal,Keshav","1"
"Kuteshwar,V.Bala","1"
"Murty,VadaliSrinivasa","1"
"JaganMohan,P.","1"
"Patidar,Virendra","1"
"Mohammed,Shoaib","1"
"Muraliy,Srinivasan","1"
"Ganesh,ShankarRSivaa","1"
"Kruseman,Bram","1"
"Gupta,VishalG.","1"
"Gupta,Sukrat","1"
"KrishnaKumar,R.","1"
"Beniniz,Luca","1"
"SatyaTrinadh,A.","1"
"Bhatia,DineshK.","1"
"Manojkumar,A.","1"
"Shroff,Shyam","1"
"Shoaib,Mohammed","1"
"Ray,Indrajit","1"
"Ravi,Srivaths","1"
"Eichenberger,Stefan","1"
"Krithivasan,Kamala","1"
"Chandramouli,GadisettiVR","1"
"Viswajith,K.N.","1"
"Krishnamoorthy,C.S.","1"
"Pasumarthi,RamaKumar","1"
"George,Karen","1"
"Balakrishnan,Meenakshi","1"
"Murali,Srinivasan","1"
"Pol,NiranjanAnant","1"
"Chandrasekhaf,Vikram","1"
"SivaSaiPrasanna,C.","1"
"RaoBorra,SivaNageswara","1"
"Maneperambil,KailasnathS.","1"
"Jain,Prabhat","1"
"Kurian,George","1"
"Seth,Anurag","1"
"Hora,Camelia","1"
"Soumya,E.Siva","1"
"Vinay,S.","1"
"Srivani,L.","1"
"Pradeep,R.","1"
"DeMicheli,Giovanni","1"
"Chakradhar,SrimatT.","1"
"Kumar,AnshulA.","1"
"Muthukaruppan","1"
"Rao,Narayana","1"
"Rangarajan,Parthasarathy","1"
"Srinathan,Kannan","1"
"Madhusudan,GiyyarpuramS.","1"
"Roy,Arnab","1"
"Vijaykrishnan","1"
"Ramasubramanian,Natarajan","1"
"JanakiLatha,N.S.","1"
"Sundar,E.Syam","1"
"Conti,Mauro","1"
"Sur-Kolay,Susmita","1"
"Burman,Sanjay","1"
"Gautam,Mayank","1"
"Agrawal,VishwaniD.","1"
"SathyaNarayanan,N.","1"
"Ravindran,Balaraman","1"
"Vimalkumar,J.","1"
"Mahammad,SkNoorMahammad","1"
"Ahuja,JaswinderS.","1"
"Maneparambil,Kailasnath","1"
"Krishnan.,PraveenM.","1"
"Subrahmanya,Parvathanathan","1"
"Gude,DasaradhaR.","1"
"Baskaran,Roopashree","1"
"Ranganathan,Nagarajan","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
