Scopus - Analyze author output

"Author name:","Murthy, Chebiyyam Siva Ram"
"Scopus author ID:","7102087090"

"Co-authors:","121"

"Co-author","Co-authored documents"

"Manoj,B.S.","24"
"Franklin,AntonyAntony","12"
"Manimaran,Govindarasu","11"
"Mishra,Sudeepta","10"
"Gurusamy,Mohan","9"
"Mahendran,Veeramani","8"
"Murthy,KiranNarasimhaBalasubramanya","7"
"Thakur,Rahul","7"
"Venkatesh,TiruchiraiGopalakrishnan","7"
"Patra,Moumita","6"
"Rachuri,KiranK.","6"
"Jayashree,S.","6"
"Sengupta,Anik","5"
"Saradhi,ChavaVijaya","5"
"Srinivasan,Manikantan","4"
"Sreenath,Niladhuri","3"
"Kotagi,VijethJ.","3"
"Dhanaraj,M.","3"
"Reddy,T.Bheemarjuna","3"
"Kanagasabapathy,ArunA.","3"
"Kiran,YedugundlaVenkata","3"
"Singh,Rajkarn","3"
"Kumar,KranthiJayanthLatesh","3"
"Gopalan,KartikSrinivasa","3"
"Praveen,B.VS","2"
"Balachandran.,Athula","2"
"Sinha,Sushant","2"
"Karthigeyan,I.","2"
"Joseph,DilipAntony","2"
"SaravanaManickam,R.","2"
"Madhyastha,HarshaV.","2"
"Venkatesan,GopalT.","2"
"Norden,Samphel","2"
"Vijeth,J.K.","2"
"Pagaria,LalitKumar","2"
"Balaji,SubramanianJ.","2"
"Manickam,R.Saravana","2"
"Frank,ChristoD.","2"
"Babu,SharathSarath","2"
"Selvakumar,S.","2"
"Vallam,RohithDwarakanath","2"
"Sekhar,ArchanaSoma","2"
"Praveen,J.","2"
"Pradeep,MadhavarapuJnana","2"
"Sriram,RamDuvvuru","2"
"Selvaradjou,KaA.","2"
"Bimal,V.","2"
"Ananthapadmanabha,R.","2"
"Srinivas,N.S.","2"
"Bukkapatanam,Vibhav","2"
"RamMohan,N.R.","2"
"Ignatius,PaulP.","2"
"Praveen,Thammana","2"
"Ramana,B.Venkata","2"
"Venkatesh,Tamarapalli","2"
"Aggarwal,Nikunj","1"
"Sankar,AnnamalaiSiva","1"
"Balasubramanian,Anusuya","1"
"Karthikeya,SurabhiAbhimithra","1"
"Gandikota,VenkatRaju","1"
"Das,SubirKumar","1"
"Manam,V.KChaithanya","1"
"Goutham,B.","1"
"Zhou,Luying","1"
"Vishnumurthy,Vivek","1"
"Giridhari,V.","1"
"Kartik,S.","1"
"Swain,SibaNarayan","1"
"Sandeep,T.","1"
"Chowdhary,GirishV.","1"
"Gummadi,KrishnaPhani","1"
"Kowshik,SumantJ.","1"
"Najeem,M.S.","1"
"Sisodia,RajendraSingh","1"
"Zhang,Baoxian","1"
"Handigol,Nikhil","1"
"Krishna,GummadiP.","1"
"Badarla,VenkataramanaRamana","1"
"Krishnan,CSRSR","1"
"Sudhakar,Veluru","1"
"Dhingra,Lalit","1"
"Dev,Keshav","1"
"Somani,ArunK.","1"
"Gunasekaran,Rajkishan","1"
"Singh,Fateh","1"
"Rao,S.Dharma","1"
"Subramaniam,BalaRama","1"
"Marina,MaheshK.","1"
"Tsubokura,Masaharu","1"
"Anirudh,B.","1"
"Reddy,GirishSaiKiran","1"
"Bhaya,Gaurav","1"
"Chen,Changiia","1"
"Reddy,N.KM","1"
"Jagadeesan,S.","1"
"Piriyakumar,DouglasAntonyLouis","1"
"Panicker,K.KV","1"
"Ranjith,G.","1"
"Rangineni,Srija","1"
"Tom,P.Ajith","1"
"Babu,Shivnath","1"
"Sujatha,T.Lakshmi","1"
"Mahesh,Karthikeyan","1"
"Kapil,Hem","1"
"Chandra,Ramesh","1"
"Venkatesh,T.G.","1"
"Sreenivas,A.","1"
"Pavan,K.Srinivasa","1"
"Jayaraj,A.","1"
"Ranganath,VinayMythiliRanganath","1"
"John,JohnnyJohn","1"
"Tamma,BheemarjunaReddy","1"
"Venkatadri,Giridhari","1"
"Mittal,RadhikaK.","1"
"Praveen,KumarM.","1"
"Anirudh,SivaramanK.","1"
"MacHiraju,Sridhar","1"
"BheemarjunaReddy,T.","1"
"Vageesh,D.C.","1"
"PhaniKrishna,Penumarthi","1"
"KarthigeyanI,I.","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
