Scopus - Analyze author output

"Author name:","Sivalingam, Krishna Moorthy"
"Scopus author ID:","7005495251"

"Co-authors:","150"

"Co-author","Co-authored documents"

"Agrawal,Prathima","22"
"Sankaran,GaneshChennimalai","14"
"Sivakumar,Mahesh","11"
"Dowd,PatrickW.","9"
"Subramaniam,SureshV.","8"
"Mishra,Manav","8"
"Shenai,RamakrishnaK.","7"
"Chen,Jyhcheng","6"
"Namboothiri,P.Gireesan","5"
"Deshpande,SarangS.","5"
"Kishore,ShalineeP.","5"
"Mahadevan,Indu","5"
"Sivakumar,AnushaP.","4"
"Rangnekar,Aniruddha","4"
"Dong,Shaoqiang","4"
"Karthik,RamyaM.","4"
"Chellappan,Vanniarajan","4"
"Lin,Yingdar","4"
"Bogineni,KalyaniK.","4"
"SatyaMurty,S.AV","3"
"Dutta,Rudra","3"
"Tung,Liping","3"
"Ramanathan,Parameswaran","3"
"Krishnamurthy,Harini","3"
"Mukherjee,Biswanath","3"
"Kumar,AnandAnand","3"
"Gowda,Sunil","3"
"Somani,ArunK.","3"
"Ding,Jin","3"
"Srivastava,Mani","3"
"Sivakumar,ManojSenthil","3"
"Bhide,Nilesh","3"
"Chen,Jyhcheng","3"
"Damodaran,Satish","3"
"Narendran,Krishnan","3"
"Raghavendra,CauligiS.","3"
"Wang,Jie","3"
"Karthick,M.","3"
"Ramanathan,Parmesh","3"
"Joshi,SagarC.","3"
"Li,Bo","3"
"Maciocco,Christian","3"
"Angappan,Kavinkadhirselvan","2"
"Jukan,Admela","2"
"Bhor,Dhananjay","2"
"Chandur,Preethi","2"
"SyamaVarma,R.","2"
"Kumar,ArunK.","2"
"Ravichandran,Karthikeyan","2"
"Johnson,ErikL.","2"
"Parr,GerardP.","2"
"Mishra,Minal","2"
"Krithivasan,Kamala","2"
"Lai,Yuancheng","2"
"Korad,Uttara","2"
"Radhakrishnan,Muthukumar","2"
"Sharma,Surendra","2"
"Wen,Bo","2"
"Fabry-Asztalos,Tibor","2"
"Narasimha,Srinath","2"
"Ravi,Abhiram","2"
"Lindsey,Stephanie","2"
"Fang,Jing","2"
"Chen,Jyhcheng","2"
"Yang,Kevin","1"
"Jones,ChristineE.","1"
"Fall,KevinR.","1"
"Kulkarni,RahulR.","1"
"Chuan,Lujian","1"
"Ebenezer,Jemimah","1"
"Jalihal,Devendra","1"
"Sreekumaran,Sreekanth","1"
"Murty,S.AVSatya","1"
"Kumari,Kiran","1"
"Shenai,RamaK.","1"
"Purohith,DhathriR.","1"
"Rupak,M.Sai","1"
"Raj,Baldev","1"
"Sen,Arkadeep","1"
"Acharya,Raj","1"
"Mohan,SeshadriR.","1"
"Vokkarane,VinodM.","1"
"Radivojac,Predrag","1"
"Nirav,Gohel","1"
"Li,Bin","1"
"Kumar,KiranVinodh","1"
"Acharya,RajS.","1"
"Subramani,SundarP.","1"
"Acharya,RajS.","1"
"Chen,Wesley","1"
"Vidhyadharan,Sreejith","1"
"Wu,Xiangjun","1"
"Kishore,Sh","1"
"Hegde,Aditya","1"
"Shah,PiyushB.","1"
"Daines,B.","1"
"Kuo,Yuhsien","1"
"Chourasia,Sakshi","1"
"Obradović,Zoran","1"
"Padmanabhan,Ramakrishna","1"
"Govindan,Ramesh","1"
"Kumar,Adithya","1"
"Seetharam,DevaP.","1"
"Seth,BharatUdai","1"
"Shanmugavel,M.","1"
"Pandey,Santhosh","1"
"Das,Tanmoy","1"
"Naik,Piyush","1"
"Durai,B.SakthiKarthi","1"
"Kolukula,SaiSuhas","1"
"Qin,Yang","1"
"Kondareddy,YogeshR.","1"
"Datta,DebasishL.","1"
"Pandey,SantoshKumar","1"
"Rajan,K.K.","1"
"Venugopal,Subalakshmi","1"
"Ramamurthy,Byrav","1"
"Khare,AnshuR.","1"
"Ku,Yuhsien","1"
"Wang,Chonggang","1"
"Venkatachalam,Muthaiah","1"
"Padhi,Lakshminarayana","1"
"Medidi,SirishaR.","1"
"Giridhar,Krishnamurthy","1"
"Li,Bo","1"
"Chandran,T.","1"
"Cankaya,HakkiCandan","1"
"Li,Bin","1"
"Tung,Liping","1"
"Ekambaram,Vijay","1"
"Kartikeya,Siddartha","1"
"Rajaravivarma,Rathika","1"
"Gonsalves,TimothyA.","1"
"Rajaravivarma,Veeramuthu","1"
"Tamilraj,Venkatraman","1"
"Sridharan,KarthikS.","1"
"Li,Lizhong","1"
"Liu,Jonathan","1"
"Jana,Neeharika","1"
"Prasad,PratapSurya","1"
"Cao,Xiren","1"
"Manimaran,Govindarasu","1"
"Patni,Sakshi","1"
"Sai,S.Sivasankara","1"
"Lee,Sookyoung","1"
"Agrawal,Prathima","1"
"Todd,TerenceD.","1"
"Kashyapa,Raghava","1"
"Bote,Deepak","1"
"Znati,TaiebB.","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
