Scopus - Analyze author output

"Author name:","Nasre, Meghana"
"Scopus author ID:","25522226600"

"Co-authors:","11"

"Co-author","Co-authored documents"

"Kavitha,Telikepalli","9"
"Nimbhorkar,Prajakta","3"
"Huang,Chienchung","2"
"Ramachandran,Vijaya","2"
"Michail,Dimitrios","2"
"Pontecorvi,Matteo","2"
"Mestre,Julián","2"
"Gorla,Sreekanth","1"
"Ananth,PrabhanjanVijendra","1"
"Ghosal,Pratik","1"
"Sarpatwar,KanthiK.","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
