Scopus - Analyze author output

"Author name:","Aidhen, Indrapal Singh"
"Scopus author ID:","6602561930"

"Co-authors:","59"

"Co-author","Co-authored documents"

"Balasubramaniam,Sivaraman","8"
"Borkar,SantoshRamdas","6"
"Vijayasaradhi,Sivalenka","6"
"Manjunath,BeedimaneNarayana","6"
"Mukkamala,Ramesh","5"
"Mahalingam,SakkarapalayamM.","5"
"Varghese,Babu","4"
"Satyamurthi,N.","4"
"Bisht,PremBallabh","4"
"Sudarshan,Kasireddy","4"
"Harikrishna,Kommidi","4"
"Singh,Jaimala","3"
"Tiwari,PraveenKumar","3"
"Narasimhan,NuraniS.","3"
"Selvamurugan,V.","3"
"Swain,Jitendriya","2"
"Annamalai,Senthilmurugan","2"
"Mishra,AshokKumar","2"
"Manna,ManashKumarUmar","2"
"Rakshit,Ananya","2"
"Namboodiri,C.KR","2"
"Chandra,BrijeshKC","2"
"Kommidi,Harikrishna","2"
"Senthilmurugan,Annamalai","2"
"Mandal,Sudip","1"
"Ahuja,JaimalaR.","1"
"Kothandaraman,Ramanujam","1"
"Kushwaha,SumanK.","1"
"Sauer,Sascha","1"
"Shafique,Mohammed","1"
"Dhavale,DilipDattatraya","1"
"Sasse,Florenz","1"
"Khan,Inshadali","1"
"Beedimane,ManjunathNarayana","1"
"Mohapatra,Monalisa","1"
"Sane,Neeraj","1"
"Annamalaf,Senthilmurugan","1"
"Kelly,ThomasJ.","1"
"Sinha,Shweta","1"
"AkbarAli,S.","1"
"Hinkelmann,Bettina","1"
"Sunder,NuraniM.","1"
"Siripina,VijayaK.","1"
"Bokolia,Naveen","1"
"Kalanoor,BasanthS.","1"
"Aidhen,JaimalaS.","1"
"Mukhopadhyay,TufanK.","1"
"Sivaraman,Balasubramaniam","1"
"Bej,Raju","1"
"Boga,SobhanaBabu","1"
"Ramanan,Meera","1"
"Sathyamurthi,N.","1"
"Doble,Mukesh","1"
"Braslau,Rebecca","1"
"Bongu,SudhakaraReddy","1"
"Costello,John","1"
"Senthilmnrugan,Annamalai","1"
"Weidner,Christopher","1"
"Rajakumar,Balla","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
