Scopus - Analyze author output

"Author name:","Rit, Arnab"
"Scopus author ID:","36019467900"

"Co-authors:","20"

"Co-author","Co-authored documents"

"Hahn,F.E.","5"
"Aldridge,Simon","5"
"Okuda,Jun","5"
"Spaniol,ThomasPaul","4"
"Campos,Jesús","4"
"Marón,Laurent","3"
"Pape,Tania","3"
"Kolychev,EugeneL.","3"
"Maity,Ramananda","2"
"Tirfoin,Rémi","2"
"Niu,Haoyu","2"
"Mo,Zhenbo","2"
"SchulteToBrinke,Christian","2"
"Protchenko,AndreyV.","1"
"Wiegand,AnnKristin","1"
"Daniliuc,ConstantinG.","1"
"Zanardi,Alessandro","1"
"Hepp,Alexander","1"
"Kösters,Jutta","1"
"Usher,Matthew","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
