Scopus - Analyze author output

"Author name:","Ramanujam, Kothandaraman Y."
"Scopus author ID:","7004613608"

"Co-authors:","17"

"Co-author","Co-authored documents"

"Sheelam,Anjaiah","2"
"Srivatsan,Sri","2"
"Jew,Stephen","2"
"Mandal,Sudip","1"
"Boyd,JohnM.","1"
"Li,Joseph","1"
"Prabhakaran,Venkateshkumar","1"
"Ramkumar,Venkatachalam","1"
"Gotkis,Yehiel","1"
"Thippani,Thirupathi","1"
"Wei,David","1"
"Li,Hugh","1"
"Palanivelu,K.M.","1"
"Jin,A.J.","1"
"Ramani,VijayK.","1"
"Kistler,RodneyC.","1"
"Simon,Joseph","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
