Scopus - Analyze author output

"Author name:","Baire, Beeraiah"
"Scopus author ID:","56676277700"

"Co-authors:","4"

"Co-author","Co-authored documents"

"Chinta,BhavaniShankar","5"
"Tharra,Prabhakararao","3"
"Santhi,Jampani","1"
"Siraswar,Akshay","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
