Scopus - Analyze author output

"Author name:","Varadaraju, Upadhayayula V."
"Scopus author ID:","7004353382"

"Co-authors:","150"

"Co-author","Co-authored documents"

"Raveau,BernardB.","30"
"SubbaRao,G.VSubba","17"
"Pralong,Valérie","15"
"Venkatesan,Munuswamy","12"
"Caignaert,Vincent","11"
"RamaRao,KulchimanchiVS","9"
"Sivakumar,Vaidvanathan","9"
"Srinivasan,Rajagopalan","8"
"Chandrasekaran,KrishnaswamyD.","8"
"Lakshminarasimhan,N.","8"
"Thomas,KodenkandathAntony","8"
"Mary,T.A.","7"
"Boudin,Sophie","7"
"Rao,G.VSubba","7"
"Venkadesan,Srinivasan","6"
"Raju,NandyalaP.","6"
"Kishore,M.Satya","6"
"Reddy,ManasaAnji","6"
"AsiriNaidu,S.","6"
"Natarajan,SreenivasanAnanda","5"
"RamaRao,G.V.","5"
"SatyaKishore,M.VVM","5"
"Sugantha,M.","5"
"Mannan,SardariLal","5"
"Malik,SatishK.","5"
"Saradhi,PardhaP.","5"
"Mathews*,CherianK.","4"
"Baradarajan,Anantharanganathan","4"
"Vijayaraghavan,RajagopalanR.","4"
"Buvaneswari,G.","4"
"AnjiReddy,Munnangi","4"
"Marimuthu,K.N.","4"
"Ramakrishnan,ParrakatA.","4"
"Badri,V.","4"
"Rangarajan,Govindan","4"
"Maignan,Antoine","4"
"Berry,FrankJohn","3"
"Tomy,C.V.","3"
"De,U.","3"
"Kumar,NaliniRanjanS","3"
"Vijayashree,R.","3"
"Padmanabhan,KuppuswamyAnantha","3"
"Radhakrishnan,T.S.","3"
"Maiyalagan,Thandavarayan","3"
"RamachandraRao,M.S.","3"
"Coey,JMD","3"
"Janaki,J.","3"
"Sankaranarayanan,Venkataraman","3"
"Naidu,S.Asiri","3"
"Rao,G.VRama","3"
"Biswas,Krishnendu","3"
"Alamelu,T.","2"
"PavanKumar,V.S.","2"
"Veerababu,M.","2"
"Douvalis,AlexiosP.","2"
"Kutty,K.VGovindan","2"
"Verma,Rakesh","2"
"SumanaPrabhu,P.","2"
"Rao,R.S.","2"
"Viswanathan,Balasubramanian","2"
"Ponnambalam,Venuvanalingam","2"
"Saritha,Darshanala","2"
"Kiruthika,GobichettipalayamVenkataramaniManohar","2"
"Rao,Tatanarasinga","2"
"Markandeyulu,G.M.","2"
"Malo,Sylvie","2"
"Kothandaraman,Ramanujam","2"
"Jibin,A.K.","2"
"Suresh,KrishnaGopinatha","2"
"Sivasankar,BommasamudramN.","2"
"Yelon,WilliamB.","2"
"Smart,LesleyE.","2"
"Balakrishnan,R.","2"
"Sirisha,K.","2"
"Rao,G.VSubba","2"
"GovindanKutty,K.V.","2"
"Prabhu,PradnyaSumana","2"
"Sreedharan,O.M.","2"
"Fueß,Hartmut","1"
"Devi,MeenakshiShyamala","1"
"Agarwala,MukeshK.","1"
"Vaidhyanathan,L.S.","1"
"Rajagopalan,SubbiahR.","1"
"SuryaNarayana,D.S.","1"
"RaghupatiRao,S.","1"
"Nagarajan,Tharmalingam","1"
"Kothandaraman,Ramanujam","1"
"Asuvathraman,Rajaram","1"
"Periaswami,Govindaswami","1"
"Tamhane,A.S.","1"
"Gupta,LaxmiC.","1"
"Mahendran,KandhaluHari","1"
"Tokura,Yoshinori","1"
"Narayanasamy,A.","1"
"Hervieu,Maryvonne","1"
"Schmidt,PeterC.","1"
"Deepa,Melepurath","1"
"Gnanasekaran,Thiagarajan","1"
"Viswnathan,B.","1"
"Bhaskar,Akkisetty","1"
"Kumari,T.GeethaVimala","1"
"R,Kothandaraman","1"
"Singh,A.K.","1"
"Sankar,N.","1"
"Senthilkumaran,Narayani","1"
"Harada,Yoshihisa","1"
"Radhakrishnan,VijayashreeM.","1"
"Takahashi,Takashi","1"
"Sivaprasad,PallaVenkata","1"
"Kurmaev,ErnstZ.","1"
"Vaidyanathan,L.S.","1"
"Shah,VichikshaR.","1"
"Verneker,V.RPai","1"
"Natarajan,S.","1"
"Rolls,WesleyA.","1"
"Guilmeau,Emmanuel","1"
"Grush,MelissaM.","1"
"Achutharaman,VedapuramS.","1"
"Majhi,J.","1"
"Rajasekharan,ThankappanPillai","1"
"Tiwari,Hansnath","1"
"Zatsepin,DmitryA.","1"
"ChandraSekhar,M.","1"
"Sundaresan,Athinarayanan","1"
"Gopinath,ChinnakondaS.","1"
"Brinda,B.Lakshmi","1"
"Kasiviswanathan,Subbiah","1"
"Rajam,PrakashFortunata","1"
"Lebedev,OlegI.","1"
"Subramaniam,ChitturKrishnaswamy","1"
"PardhaSaradhi,M.","1"
"Kishore,M.VVMSatya","1"
"Secco,EtaloA.","1"
"Millange,Fabienne","1"
"Rao,G.VS","1"
"Kasturi,S.","1"
"Marimuthu,KalusalingamNagappan","1"
"Nagarajan,RajamaniR.","1"
"Ovechkina,N.A.","1"
"Sankaranarayanan,V.","1"
"Krishnan,H.","1"
"Satyanarayana,M.","1"
"Raman,R.KS","1"
"Rao,Muralidhara","1"
"Bǎieş,Radu","1"
"VijayKumarGupta,K.","1"
"Luo,H.P.","1"
"Murthy,VaishnavSatyaNarayana","1"
"Suryanarayana,DarbhaS.","1"
"Mallika,Chellanadar","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
