Scopus - Analyze author output

"Author name:","Muraleedharan, Kannoth Manheri"
"Scopus author ID:","7004237693"

"Co-authors:","44"

"Co-author","Co-authored documents"

"Balamurugan,Dhayalan","9"
"Avery,MitchellA.","8"
"Ranganathan,Subramania","8"
"Williamson,JohnS.","5"
"Karle,IsabellaLugoski","4"
"Parshikov,I.A.","4"
"Gopinath,Pushparathinam","4"
"Miriyala,Bruhaspathy","3"
"ChandrashekharRao,ChH.","3"
"Ramkumar,Venkatachalam","3"
"Vairamani,M.","3"
"Ganesan,MuthupandianV.","3"
"Bharadwaj,ParimalK.","2"
"Victor,NapoleonJohn","2"
"Nilaya,Surapaneni","2"
"Illendula,Anuradha","2"
"Karunagaran,Devarajan","2"
"Gilardi,RichardD.","2"
"Tekwani,BabuLal","1"
"Janni,D.Sirisha","1"
"Jayaraman,Narayanaswamy","1"
"Ramesh,Nivarthi","1"
"Sankar,AmpapathiRavi","1"
"Debi,TripathyRanjan","1"
"Bhattacharyya,Dipti","1"
"Saroj,Soumya","1"
"Desai,PrashantV.","1"
"Vaish,NarendraK.","1"
"Kunwar,AjitChand","1"
"Ramalingam,KrishnanK.","1"
"Kundu,Dinabandhu","1"
"JohnVictor,Napoleon","1"
"Bandyopadhyaya,AchintyaK.","1"
"Chittiboyina,AmarG.","1"
"Patnaik,Archita","1"
"Madhusudanan,KunnathPadamnabham","1"
"Reddy,UdagandlaChandrasekhar","1"
"Avery,BonnieA.","1"
"Gana,Janardhanan","1"
"Chatterji,Dipankar","1"
"Pabbisetty,Deepthi","1"
"Furtado,MariseM.","1"
"Sarangi,NirodKumar","1"
"Sakthivel,Ramasamy","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
