Scopus - Analyze author output

"Author name:","Selvam, Parasuraman Panneer"
"Scopus author ID:","35596372800"

"Co-authors:","150"

"Co-author","Co-authored documents"

"Miyamoto,Akira","28"
"Kubo,Momoji","26"
"Viswanathan,Balasubramanian","23"
"Mohapatra,SusantaKumar","20"
"Dapurkar,SudhirE.","18"
"Srinivasan,VangalurS.","18"
"Sakthivel,Ayyamperumal","14"
"Balamurugan,Sarkarainadar","14"
"Badamali,SushantaKumar","13"
"Endou,Akira","12"
"Koyama,Michihisa","12"
"Gupta,NarendraM.","11"
"Yakhmi,JatiǹderVir","10"
"Swamy,C.S.","10"
"Jayaram,RadhaV.","9"
"Sonavane,SachinU.","9"
"Padalia,BDD.","8"
"Prakash,OmM.","8"
"Decroux,Michel","8"
"Cors,J.","7"
"Vidya,Kaipanchery","7"
"Fischer,Øystein","7"
"Gopalakrishnan,IyyaniKunjappu","7"
"Tsuboi,Hideyuki","7"
"Nanjundan,Sankaran","6"
"Kamble,ValmikS.","6"
"DelCarpio,CarlosAdrielM","6"
"Imamura,Akira","6"
"Luo,Yi","6"
"Misra,DeviShanker","6"
"Takami,Seiichi","6"
"Yvon,Klaus","6"
"Elanany,MohamedS.","6"
"Sharda,Tarun","6"
"Minoura,Hideki","5"
"Veluchamy,P.","5"
"Chevrel,Roger","5"
"Takaba,Hiromitsu","5"
"Pinto,Richard","5"
"Cattani,DanieleD.","5"
"Seibt,EWW.","4"
"Ito,Yuki","4"
"Krishna,Vidya","4"
"Sharon,Madhuri","4"
"Suzuki,Ai","4"
"Babu,KeshakVictor","3"
"Murugesan,MuthuM.","3"
"Gopalakrishnan,I.K.","3"
"Niedermann,PhH.","3"
"Subramanian,SankaranP.","3"
"Gupta,SanjayN.","3"
"Kuppan,Balaiah","3"
"Gopinath,ChinnakondaS.","3"
"Kusagaya,Tomonori","3"
"Sikder,ArunKumar","3"
"Krishna,NunnaVamsiS","3"
"Rabiller,Philippe","3"
"Parimala,Sowmianarayanan","2"
"Gupta,LaxmiC.","2"
"Patel,AnjaliK.","2"
"Suzuki,Ken","2"
"Ritter,Stefanie","2"
"Hussain,Firasat","2"
"Faria,JoaquimLúís","2"
"Yu,Xiaolan","2"
"Chinnakali,Kandasamy","2"
"Parsapur,RajeshKumar","2"
"Keer,HarindarV.","2"
"Yokosuka,Toshiyuki","2"
"Gnanasekar,KovilpillaiImmanuel","2"
"Gupta,LaxmiC.","2"
"Onuma,Hiroaki","2"
"Chandrasekaram,D.","2"
"Mahalingam,RathinamJ.","2"
"Kobayashi,Yasunori","2"
"Penlidis,A.","2"
"Bonhomme,François","2"
"Bhargava,Sanjay","2"
"Kumar,DharmeshBalaKaruna","2"
"Sergent,Marcel","2"
"Ravat,VilasM.","2"
"Bhatt,NikunjA.","2"
"Jung,Changho","2"
"Fischer,PeterA.","2"
"Kurokawa,Hitoshi","2"
"Pech,Tibor","2"
"Chutia,Arunabhiram","2"
"Bist,HariDutt","2"
"Sasata,Katsumi","2"
"Zhu,Zhigang","2"
"Rao,Muralidhara","2"
"Sahoo,BishawabhusanB.","1"
"ArunKumar,S.","1"
"Basakaralingam,P.","1"
"Kikuchi,Hiromi","1"
"Vijayaraghavan,RajagopalanR.","1"
"Sauer,Joachim","1"
"Ivars-Barceló,Francisco","1"
"Uma,Ganesan","1"
"Fun,Hoongkun","1"
"N.Thinakaran","1"
"Sidhpuria,KalpeshB.","1"
"Moulijn,JacobM.","1"
"Rao,KamarajuSeethaRama","1"
"Guczi,László","1"
"Benyettou,Farah","1"
"Miyano,Masayuki","1"
"Benkó,Tímea","1"
"Bruix,Albert","1"
"Yonekawa,Fumihiro","1"
"Reddy,RavulaSugunakar","1"
"Navaneethan,M.","1"
"Stakheev,AleksandrYu","1"
"Zhou,Hui","1"
"Mantri,DineshB.","1"
"Davies,PhilipRosser","1"
"Ravaux,Florent","1"
"Gupta,Anurag","1"
"Kajiyama,Hiroshi","1"
"Bonnaud,PatrickA.","1"
"Rajasekar,SankarAbraham","1"
"Hayakawa,Yasuhiro","1"
"Aravamudan,Gopalaswamiengar","1"
"Kumar,Dhananjay","1"
"Sharma,PankajKumar","1"
"Preethi,S.R.","1"
"Wang,Wendong","1"
"Suematsu,Hisayuki","1"
"Murthy,PalleRamana","1"
"Kuwano,Hisashi","1"
"Paulose,TressiaAP","1"
"Hutchings,GrahamJohn","1"
"Bokarev,DmitriyA.","1"
"Rezgui,Rachid","1"
"Mytareva,AlinaI.","1"
"Wang,Xiaojing","1"
"Jakubek,Tomasz","1"
"Murugasan,M.","1"
"Mudali,UthandiKamachi","1"
"Elavarasan,Selvam","1"
"Taraba,Hiromitsu","1"
"Ramlakshmi,N.","1"
"Silva,CláudiaG.","1"
"Hatakeyama,Nozomu","1"
"NovakTušar,Nataša","1"
"Williams,MarkC.","1"
"Roldán,Alberto","1"
"Freund,HansJoachim","1"
"Apte,PrakashR.","1"
"Yamazaki,Nobuyuki","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
