Scopus - Analyze author output

"Author name:","Jayanthan, A. V."
"Scopus author ID:","8682127400"

"Co-authors:","10"

"Co-author","Co-authored documents"

"Verma,JugalKishore","5"
"Nanduri,Ramakrishna","3"
"Srinivasan,Hema","2"
"DeNegri,Emanuela","1"
"Sabine,ElKhoury","1"
"Singh,Balwant","1"
"Puthenpurakal,TonyJ.","1"
"Conca,Aldo","1"
"Balakrishnan,R.","1"
"Rossi,MariaEvelina","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
