Scopus - Analyze author output

"Author name:","Upadhye, N. S."
"Scopus author ID:","15063727100"

"Co-authors:","2"

"Co-author","Co-authored documents"

"Vellaisamy,Palaniappan","5"
"Čekanavičius,Vydas","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
