Scopus - Analyze author output

"Author name:","Shaiju, A. J."
"Scopus author ID:","23569830100"

"Co-authors:","15"

"Co-author","Co-authored documents"

"Petersen,Ian","8"
"Dharmatti,Sheetal","2"
"MallikarjunaRao,K.S.","2"
"Bernhard,Pierre","1"
"James,MatthewR.","1"
"Ghosh,MrinalKanti","1"
"Mathew,Sam","1"
"Hamelin,FrédéricM.","1"
"Ghatak,Anirban","1"
"Ramaswamy,MythilyA.","1"
"James,MatthewR.","1"
"Patnaik,B.SVP","1"
"Wajnberg,Éric","1"
"Sharma,Ankita","1"
"Das,PramodeK.","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
