Scopus - Analyze author output

"Author name:","Vasantha, W. B."
"Scopus author ID:","56780433800"

"Co-authors:","2"

"Co-author","Co-authored documents"

"RajaDurai,R.S.","1"
"Selvaraj,RamasamyS.","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
