Scopus - Analyze author output

"Author name:","Srinivasa Rao, Ch"
"Scopus author ID:","55863972600"

"Co-authors:","7"

"Co-author","Co-authored documents"

"Sachdev,PurushottamLai","3"
"Joseph,KayyunnaparaThomas","1"
"Yadav,ManojK.","1"
"Ramaswamy,MythilyA.","1"
"Enflo,BengtO.","1"
"Goyal,Poonam","1"
"MayilVaganan,B.","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
