Scopus - Analyze author output

"Author name:","Dubey, Shruti A."
"Scopus author ID:","34970982000"

"Co-authors:","3"

"Co-author","Co-authored documents"

"Dwivedi,Sharad","2"
"Sharma,Madhukant","2"
"Bahuguna,Dhirendra","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
